Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Amiens,26,38.0,607,15.97,442,54,31,22,44,14,52,1.37,38,3,4,2,3,2
Angers,24,38.0,726,19.11,481,77,47,42,65,14,65,1.71,45,4,4,6,6,0
Bordeaux,33,38.0,701,18.45,512,54,48,26,44,17,56,1.47,40,1,8,4,2,1
Caen,26,38.0,468,12.32,305,60,23,26,40,14,44,1.16,27,3,3,4,7,0
Dijon,26,38.0,687,18.08,465,71,51,42,43,15,48,1.26,33,3,3,7,1,1
Guingamp,30,38.0,647,17.03,446,72,41,31,43,14,47,1.24,28,7,2,4,6,0
Lille,25,38.0,827,21.76,584,70,63,29,59,22,122,3.21,77,8,15,5,13,4
Lyon,25,38.0,1118,29.42,804,81,70,68,76,19,127,3.34,98,1,9,10,8,1
Marseille,24,38.0,817,21.50,569,105,39,46,45,13,99,2.61,68,8,6,15,2,0
Monaco,42,38.0,743,19.55,511,68,54,49,39,22,59,1.55,37,3,5,6,6,2
Montpellier,25,38.0,798,21.00,581,79,44,27,53,14,69,1.82,44,6,2,8,6,3
Nantes,33,38.0,828,21.79,561,100,37,47,66,17,71,1.87,49,3,4,8,7,0
Nice,30,38.0,752,19.79,489,74,75,39,57,18,46,1.21,31,2,2,3,7,1
Nîmes,23,38.0,799,21.03,521,93,72,41,48,24,86,2.26,47,11,10,7,9,2
Paris S-G,30,38.0,940,24.74,687,67,74,40,49,23,169,4.45,121,6,14,12,11,5
Reims,27,38.0,615,16.18,423,62,56,35,31,8,62,1.63,41,3,9,2,4,3
Rennes,28,38.0,759,19.97,511,59,63,35,74,17,86,2.26,51,8,8,8,9,2
Saint-Étienne,29,38.0,744,19.58,510,74,49,53,41,17,87,2.29,54,11,3,8,9,2
Strasbourg,26,38.0,643,16.92,462,69,43,26,30,13,94,2.47,66,7,5,6,6,4
Toulouse,29,38.0,643,16.92,410,77,52,40,47,17,53,1.39,27,6,5,8,7,0
