Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Augsburg,30,34.0,662,19.47,461,72,30,46,35,18,67,1.97,51,4,0,7,5,0
Bayern Munich,24,34.0,983,28.91,705,85,69,60,52,12,136,4.00,98,8,9,15,4,2
Dortmund,23,34.0,730,21.47,535,63,35,39,45,13,147,4.32,106,6,10,11,11,3
Düsseldorf,24,34.0,649,19.09,458,69,33,35,37,17,79,2.32,55,4,9,4,4,3
Eint Frankfurt,30,34.0,604,17.76,407,75,43,30,35,14,94,2.76,67,5,6,10,3,3
Freiburg,28,34.0,622,18.29,449,54,34,35,40,10,67,1.97,41,5,2,10,9,0
Hannover 96,32,34.0,568,16.71,400,59,36,22,35,16,45,1.32,36,2,1,1,4,1
Hertha BSC,26,34.0,622,18.29,431,64,46,38,32,11,78,2.29,51,4,8,8,6,1
Hoffenheim,29,34.0,940,27.65,672,79,69,54,47,19,111,3.26,75,6,7,11,10,2
Leverkusen,21,34.0,787,23.15,609,52,39,42,31,14,116,3.41,92,6,2,9,6,1
M'Gladbach,22,34.0,714,21.00,531,58,38,46,34,7,94,2.76,70,5,7,6,6,0
Mainz 05,28,34.0,737,21.68,548,56,51,35,35,12,71,2.09,49,2,12,2,3,3
Nürnberg,27,34.0,506,14.88,342,59,22,31,41,11,38,1.12,23,4,0,8,3,0
RB Leipzig,23,34.0,804,23.65,593,68,50,37,35,21,106,3.12,71,2,15,8,4,6
Schalke 04,32,34.0,630,18.53,397,89,34,38,56,16,59,1.74,32,4,6,7,7,3
Stuttgart,26,34.0,624,18.35,448,65,39,27,32,13,49,1.44,36,4,4,4,1,0
Werder Bremen,24,34.0,708,20.82,544,48,41,34,26,15,91,2.68,63,2,9,8,7,2
Wolfsburg,25,34.0,631,18.56,457,66,31,28,40,9,98,2.88,61,10,7,12,6,2
