Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Angers,31,38.0,630,16.58,454,48,44,26,38,20,57,1.50,34,7,4,4,7,1
Bordeaux,28,38.0,675,17.76,440,71,59,32,51,22,70,1.84,42,9,6,5,8,0
Brest,26,38.0,735,19.34,515,75,44,39,47,15,75,1.97,51,6,4,7,6,1
Dijon,33,38.0,527,13.87,352,61,41,28,32,13,34,0.89,19,3,3,6,2,1
Lens,27,38.0,725,19.08,507,63,52,37,47,19,96,2.53,61,8,7,6,11,3
Lille,21,38.0,769,20.24,561,59,50,37,44,18,97,2.55,69,3,7,10,7,1
Lorient,27,38.0,653,17.18,439,58,41,39,57,19,78,2.05,45,5,4,10,12,2
Lyon,29,38.0,1003,26.39,714,80,69,53,57,30,138,3.63,91,6,12,9,16,4
Marseille,31,38.0,612,16.11,430,62,30,26,47,17,92,2.42,60,10,4,4,11,3
Metz,27,38.0,685,18.03,461,67,44,31,62,20,72,1.89,47,2,7,5,8,3
Monaco,30,38.0,783,20.61,557,86,37,42,43,18,124,3.26,83,8,8,5,14,6
Montpellier,25,38.0,716,18.84,468,81,42,49,56,20,100,2.63,67,7,6,12,7,1
Nantes,25,38.0,627,16.50,429,60,49,29,41,19,69,1.82,42,3,11,6,7,0
Nice,31,38.0,621,16.34,418,56,53,32,40,22,67,1.76,35,4,8,7,9,4
Nîmes,33,38.0,565,14.87,382,62,41,25,38,17,59,1.55,43,1,5,3,7,0
Paris S-G,33,38.0,918,24.16,666,64,61,46,61,20,135,3.55,88,6,14,9,13,5
Reims,29,38.0,577,15.18,437,39,38,24,25,14,61,1.61,32,7,4,10,4,4
Rennes,32,38.0,809,21.29,574,79,46,43,53,14,79,2.08,52,9,8,3,6,1
Saint-Étienne,40,38.0,703,18.50,441,98,56,38,47,23,64,1.68,34,8,7,8,4,3
Strasbourg,26,38.0,609,16.03,401,73,35,47,36,17,71,1.87,44,5,3,11,6,2
