Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Atalanta,30,38.0,1143,30.08,856,84,70,60,51,22,157,4.13,113,6,10,13,11,4
Bologna,31,38.0,896,23.58,652,63,71,37,53,20,75,1.97,50,4,6,8,7,0
Brescia,32,38.0,631,16.61,425,76,28,43,52,7,54,1.42,34,8,0,6,5,1
Cagliari,33,38.0,692,18.21,512,59,45,28,33,15,77,2.03,60,3,3,5,3,3
Fiorentina,33,38.0,904,23.79,634,82,64,45,65,14,82,2.16,45,7,6,13,8,3
Genoa,34,38.0,679,17.87,476,53,41,41,47,21,74,1.95,45,4,4,7,10,4
Hellas Verona,30,38.0,699,18.39,505,71,39,42,32,10,73,1.92,48,5,5,5,7,3
Inter,29,38.0,997,26.24,727,74,64,60,50,22,140,3.68,100,8,7,10,13,2
Juventus,30,38.0,1119,29.45,828,81,70,58,62,20,117,3.08,75,7,11,10,11,3
Lazio,27,38.0,937,24.66,702,65,60,47,46,17,123,3.24,92,2,7,6,13,3
Lecce,30,38.0,843,22.18,648,65,35,33,47,15,89,2.34,53,9,5,8,12,2
Milan,32,38.0,1008,26.53,755,67,74,46,47,19,98,2.58,62,5,10,8,12,1
Napoli,25,38.0,1109,29.18,865,73,69,51,35,16,100,2.63,69,9,4,10,7,1
Parma,25,38.0,712,18.74,514,66,51,27,38,16,92,2.42,61,7,9,5,5,5
Roma,31,38.0,1037,27.29,742,90,77,53,57,18,122,3.21,85,7,7,8,12,3
Sampdoria,31,38.0,851,22.39,610,75,40,48,61,17,75,1.97,49,4,2,6,12,2
Sassuolo,31,38.0,893,23.50,663,49,73,40,49,19,110,2.89,78,0,14,9,9,0
SPAL,34,38.0,712,18.74,496,82,48,29,48,9,41,1.08,22,3,5,4,5,2
Torino,27,38.0,695,18.29,462,78,50,36,47,22,70,1.84,37,8,8,12,4,1
Udinese,25,38.0,766,20.16,592,62,45,25,21,21,60,1.58,43,4,6,4,1,2
