Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Alavés,30,38.0,13607,11942,1665,473,21,2493,428,372,133,24,24,1,7632,1733,4242,4696,6487,1075,701,195,9509,92,399,394,412
Athletic Club,26,38.0,17255,15675,1580,466,11,3077,588,541,187,36,35,3,10685,2190,4380,4332,10382,1153,663,182,12929,95,409,393,505
Atlético Madrid,26,38.0,18372,16889,1483,415,23,3040,399,352,157,10,19,1,12512,2036,3824,5080,11116,933,638,206,14327,99,317,413,471
Barcelona,25,38.0,25109,23662,1447,427,55,4370,618,388,204,27,33,7,20044,2253,2812,8148,15220,667,600,234,21631,113,260,551,522
Betis,29,38.0,21171,19790,1381,436,29,2758,607,385,125,18,13,0,15736,1806,3629,8306,10981,856,523,217,17551,55,412,391,408
Celta Vigo,23,38.0,20791,19312,1479,460,18,3433,589,474,145,18,18,0,14374,2334,4083,5377,13135,1075,602,180,16787,85,402,395,422
Eibar,27,38.0,17789,15909,1880,487,6,2917,807,625,223,20,55,3,9618,2503,5668,3985,10663,1400,907,235,12660,73,624,449,519
Espanyol,25,38.0,16990,15324,1666,474,12,2715,527,471,158,25,38,0,10332,2258,4400,5429,9070,1146,703,217,12572,68,430,400,512
Getafe,32,38.0,13131,11258,1873,525,21,2196,527,384,178,12,25,5,6319,2107,4705,2402,8097,1152,810,154,8542,93,436,423,457
Girona,25,38.0,15769,14225,1544,468,8,2900,766,542,168,16,20,13,9189,1917,4663,5078,8169,1192,620,205,11643,68,411,355,404
La Coruña,32,38.0,16654,15072,1582,426,22,2697,540,571,181,21,18,6,10568,2048,4038,5593,8769,1051,664,189,12495,85,413,384,416
Las Palmas,36,38.0,19316,17652,1664,534,15,2831,497,408,162,21,13,5,13565,2010,3741,4483,12743,858,657,291,15464,73,398,450,405
Leganés,28,38.0,14694,12994,1700,504,8,2489,463,474,148,6,17,0,8163,2002,4529,5279,6822,1133,738,166,10262,79,432,369,457
Levante,33,38.0,14519,12837,1682,440,11,2514,487,472,171,18,43,6,8825,1758,3936,3398,8983,817,740,171,10603,65,428,364,458
Málaga,37,38.0,15611,13929,1682,455,16,2877,482,479,149,8,22,1,9060,1863,4688,4813,8269,1220,745,130,11280,81,427,376,456
Real Madrid,24,38.0,23846,22467,1379,349,47,3305,835,757,255,23,33,4,18259,2087,3500,6211,15970,626,575,236,20387,97,282,438,494
Real Sociedad,27,38.0,20463,18846,1617,481,24,3216,688,578,222,40,41,3,14697,1827,3939,6660,11787,844,677,172,16684,81,378,368,481
Sevilla,31,38.0,20152,18601,1551,414,18,3387,426,483,203,31,20,3,14197,2108,3847,6420,11474,1015,666,220,15991,123,405,464,515
Valencia,25,38.0,17595,16157,1438,427,22,3203,548,439,188,21,27,5,12483,1737,3375,5058,10737,663,536,217,13926,70,364,440,414
Villarreal,32,38.0,18568,17070,1498,419,25,3122,500,419,166,17,17,3,12815,2229,3524,5286,11152,914,608,244,14755,97,348,445,405
