Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,30,38.0,24882,23132,1750,434,48,3260,679,419,225,114,59,17,18043,3345,3494,9605,12934,804,751,358,20841,84,322,728,468
Bournemouth,22,38.0,17677,15634,2043,540,25,2790,472,464,218,87,65,20,11104,2689,3884,5269,9963,791,857,319,13510,47,371,573,469
Brighton,24,38.0,16140,14410,1730,333,11,2836,720,434,163,67,61,26,9236,2532,4372,3763,9822,806,792,261,11951,88,420,484,401
Burnley,24,38.0,14955,13080,1875,475,18,2870,493,431,167,63,59,27,7591,2455,4909,4074,8094,975,825,235,10493,90,432,376,382
Chelsea,26,38.0,22862,21098,1764,452,53,2897,648,530,228,50,81,12,16311,3079,3472,4689,15950,689,747,333,18947,95,300,614,461
Crystal Palace,28,38.0,15894,13945,1949,461,24,2676,477,439,210,83,74,33,9325,2494,4075,4412,9023,714,869,219,11832,47,386,476,426
Everton,30,38.0,16281,14418,1863,425,24,2692,546,395,150,63,68,8,9179,2700,4402,3388,10278,846,853,238,11990,72,393,439,437
Huddersfield,25,38.0,16535,14569,1966,476,16,2923,458,477,165,88,37,14,9506,2517,4512,3685,10126,882,922,190,12081,53,435,513,461
Leicester City,27,38.0,16780,14789,1991,428,36,2592,655,493,203,120,35,12,9520,2807,4453,4313,9644,951,952,209,12331,80,436,537,428
Liverpool,27,38.0,24349,22554,1795,394,51,2830,621,503,230,103,74,16,17607,2848,3894,6264,15664,804,894,305,20261,61,343,613,430
Manchester City,25,38.0,29599,27874,1725,423,68,3203,664,570,284,22,131,12,23737,2982,2880,9367,18200,652,783,273,26108,60,344,692,482
Manchester Utd,27,38.0,21651,19803,1848,456,42,2897,609,523,219,102,71,6,15251,2685,3715,6064,13385,605,809,246,17776,76,274,540,443
Newcastle Utd,27,38.0,15257,13384,1873,450,20,2623,436,396,167,62,68,11,8307,2457,4493,4735,7959,804,835,229,11037,55,343,436,391
Southampton,26,38.0,18663,16749,1914,425,28,3097,624,516,227,116,73,14,11640,2684,4339,5171,10976,890,864,211,14318,68,429,524,445
Stoke City,30,38.0,14363,12419,1944,467,23,2690,416,377,136,71,49,11,7414,2308,4641,4213,7217,938,874,202,10143,82,377,461,378
Swansea City,26,38.0,17185,15287,1898,471,11,2591,581,420,150,89,29,20,10688,2512,3985,4888,10021,648,824,237,13274,37,352,441,403
Tottenham,25,38.0,23470,21480,1990,483,50,3454,626,555,247,66,99,29,16344,3234,3892,7554,13415,812,940,290,19290,79,319,581,522
Watford,29,38.0,17187,15224,1963,493,29,2871,526,500,183,87,64,8,9945,2635,4607,3390,11063,937,926,228,12739,67,358,475,474
West Brom,24,38.0,14707,12840,1867,401,20,2450,462,472,176,120,35,12,7381,2515,4811,4975,7129,913,850,177,10477,75,380,366,415
West Ham,27,38.0,15938,13938,2000,494,20,2661,472,459,160,92,37,11,8831,2727,4380,4161,9207,799,898,216,11769,91,317,407,434
