Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Alavés,26,26.7,38,3420,90,100,38.0,418,85,,113,17,153,1.32,39,50,-11,-0.29,37.3,51.0,-13.7,-0.36
Athletic Club,27,27.6,38,3420,90,100,38.0,418,85,,113,19,153,1.39,41,45,-4,-0.11,40.2,43.8,-3.6,-0.09
Atlético Madrid,29,26.4,38,3420,90,100,38.0,418,83,,105,26,160,2.00,55,29,+26,+0.68,46.0,38.7,+7.3,+0.19
Barcelona,30,27.7,38,3420,90,100,38.0,418,84,,112,21,154,2.29,90,36,+54,+1.42,73.8,40.5,+33.3,+0.88
Betis,25,26.7,38,3420,90,100,38.0,418,84,,113,21,153,1.32,44,52,-8,-0.21,48.8,47.1,+1.7,+0.04
Celta Vigo,28,25.5,38,3420,90,100,38.0,418,85,,110,18,156,1.08,53,62,-9,-0.24,44.8,59.7,-14.9,-0.39
Eibar,25,28.5,38,3420,90,100,38.0,418,85,,111,19,154,1.24,46,50,-4,-0.11,50.7,45.1,+5.7,+0.15
Espanyol,25,27.7,38,3420,90,100,38.0,418,85,,114,18,152,1.39,48,50,-2,-0.05,48.8,50.8,-2.0,-0.05
Getafe,26,27.5,38,3420,90,100,38.0,418,85,,114,18,152,1.55,48,35,+13,+0.34,44.7,40.7,+4.1,+0.11
Girona,26,26.6,38,3420,90,100,38.0,418,85,,113,19,153,0.97,37,53,-16,-0.42,38.6,50.5,-11.9,-0.31
Huesca,30,26.7,38,3420,90,100,38.0,418,84,,111,23,155,0.87,43,65,-22,-0.58,45.9,57.0,-11.2,-0.29
Leganés,29,26.6,38,3420,90,100,38.0,418,85,,112,17,154,1.18,37,43,-6,-0.16,37.4,40.0,-2.6,-0.07
Levante,26,26.3,38,3420,90,100,38.0,418,84,,113,20,152,1.16,59,66,-7,-0.18,49.9,67.9,-18.0,-0.47
Rayo Vallecano,29,26.6,38,3420,90,100,38.0,418,84,,111,20,155,0.84,41,70,-29,-0.76,40.8,54.5,-13.7,-0.36
Real Madrid,27,27.1,38,3420,90,100,38.0,418,84,,112,21,154,1.79,63,46,+17,+0.45,61.3,45.6,+15.7,+0.41
Real Sociedad,30,24.9,38,3420,90,100,38.0,418,84,,110,20,156,1.32,45,46,-1,-0.03,46.5,43.9,+2.7,+0.07
Sevilla,27,27.9,38,3420,90,100,38.0,418,84,,111,22,155,1.55,62,47,+15,+0.39,63.5,44.1,+19.4,+0.51
Valencia,25,26.4,38,3420,90,100,38.0,418,84,,108,23,158,1.61,51,35,+16,+0.42,57.3,40.3,+17.0,+0.45
Valladolid,28,27.4,38,3420,90,100,38.0,418,85,,113,18,152,1.08,32,51,-19,-0.50,40.3,52.9,-12.6,-0.33
Villarreal,26,27.1,38,3420,90,100,38.0,418,85,,113,19,152,1.16,49,52,-3,-0.08,50.7,53.4,-2.6,-0.07
