Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Alavés,30,25.5,38,3420,90,100,38.0,418,85,303,111,20,154,1.24,40,50,-10,-0.26,39.0,53.2,-14.2,-0.37
Athletic Club,26,26.7,38,3420,90,100,38.0,418,85,312,106,22,160,1.13,41,49,-8,-0.21,44.3,46.4,-2.1,-0.05
Atlético Madrid,26,26.6,38,3420,90,100,38.0,418,83,304,110,24,156,2.08,58,22,+36,+0.95,48.0,35.7,+12.2,+0.32
Barcelona,25,27.7,38,3420,90,100,38.0,418,84,305,111,21,155,2.45,99,29,+70,+1.84,80.4,41.8,+38.6,+1.02
Betis,29,27.1,38,3420,90,100,38.0,418,84,302,113,21,153,1.58,60,61,-1,-0.03,42.6,50.0,-7.4,-0.20
Celta Vigo,23,25.7,38,3420,90,100,38.0,418,85,308,109,19,157,1.29,59,60,-1,-0.03,53.2,51.8,+1.3,+0.04
Eibar,27,27.4,38,3420,90,100,38.0,418,84,303,113,20,153,1.34,44,50,-6,-0.16,38.8,44.4,-5.6,-0.15
Espanyol,25,26.8,38,3420,90,100,38.0,418,84,312,105,25,161,1.29,36,42,-6,-0.16,43.1,46.6,-3.6,-0.09
Getafe,32,28.2,38,3420,90,100,38.0,418,84,300,113,19,153,1.45,42,33,+9,+0.24,45.6,37.4,+8.3,+0.22
Girona,25,26.3,38,3420,90,100,38.0,418,85,312,106,19,159,1.34,50,59,-9,-0.24,48.2,48.8,-0.6,-0.02
La Coruña,32,28.2,38,3420,90,100,38.0,418,84,303,113,22,150,0.76,38,76,-38,-1.00,49.1,58.1,-9.0,-0.24
Las Palmas,36,27.0,38,3420,90,100,38.0,418,84,309,106,24,160,0.58,24,74,-50,-1.32,37.6,66.7,-29.2,-0.77
Leganés,28,27.8,38,3420,90,100,38.0,418,84,304,109,23,157,1.13,34,51,-17,-0.45,40.6,46.1,-5.6,-0.15
Levante,33,25.7,38,3420,90,100,38.0,418,83,303,112,25,151,1.21,44,58,-14,-0.37,41.3,60.5,-19.2,-0.51
Málaga,37,27.2,38,3420,90,100,38.0,418,83,299,113,23,152,0.53,24,61,-37,-0.97,32.7,53.9,-21.1,-0.56
Real Madrid,24,27.1,38,3420,90,100,38.0,418,85,308,105,20,161,2.00,94,44,+50,+1.32,82.4,44.9,+37.5,+0.99
Real Sociedad,27,25.9,38,3420,90,100,38.0,418,85,306,108,20,158,1.29,66,59,+7,+0.18,54.0,46.3,+7.6,+0.20
Sevilla,31,27.1,38,3420,90,100,38.0,418,84,303,114,22,152,1.53,49,58,-9,-0.24,56.4,53.9,+2.4,+0.06
Valencia,25,24.8,38,3420,90,100,38.0,418,85,306,107,18,159,1.92,65,38,+27,+0.71,56.3,44.6,+11.7,+0.31
Villarreal,32,26.6,38,3420,90,100,38.0,418,84,299,112,22,153,1.61,57,50,+7,+0.18,50.7,52.9,-2.1,-0.06
