Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Alavés,32,27.6,38,3420,90,100,38.0,418,83,,133,22,187,1.03,34,59,-25,-0.66,37.0,53.2,-16.2,-0.43
Athletic Club,26,26.7,38,3420,90,100,38.0,418,83,,130,21,189,1.34,41,38,+3,+0.08,38.5,46.2,-7.7,-0.20
Atlético Madrid,30,26.1,38,3420,90,100,38.0,418,82,,130,23,187,1.84,51,27,+24,+0.63,52.6,30.8,+21.8,+0.57
Barcelona,28,27.8,38,3420,90,100,38.0,418,83,,123,22,183,2.16,86,38,+48,+1.26,66.2,36.0,+30.2,+0.79
Betis,27,27.5,38,3420,90,100,38.0,418,83,,132,20,182,1.08,48,60,-12,-0.32,47.3,49.5,-2.2,-0.06
Celta Vigo,30,25.8,38,3420,90,100,38.0,418,83,,130,20,187,0.97,37,49,-12,-0.32,37.7,42.0,-4.3,-0.11
Eibar,26,29.3,38,3420,90,100,38.0,418,84,,128,19,185,1.11,39,56,-17,-0.45,41.4,51.0,-9.6,-0.25
Espanyol,31,27.7,38,3420,90,100,38.0,418,83,,130,19,189,0.66,27,58,-31,-0.82,33.0,44.4,-11.4,-0.30
Getafe,30,27.5,38,3420,90,100,38.0,418,84,,128,19,175,1.42,43,37,+6,+0.16,37.9,39.0,-1.1,-0.03
Granada,27,26.8,38,3420,90,100,38.0,418,82,,133,24,174,1.47,52,45,+7,+0.18,40.9,41.1,-0.2,0.00
Leganés,29,26.9,38,3420,90,100,38.0,418,82,,130,25,190,0.95,30,51,-21,-0.55,37.3,39.0,-1.6,-0.04
Levante,29,27.7,38,3420,90,100,38.0,418,84,,134,19,187,1.29,47,53,-6,-0.16,41.9,60.7,-18.8,-0.50
Mallorca,32,26.8,38,3420,90,100,38.0,418,83,,132,22,185,0.87,40,65,-25,-0.66,39.2,60.6,-21.4,-0.56
Osasuna,31,27.7,38,3420,90,100,38.0,418,83,,129,20,185,1.37,46,54,-8,-0.21,44.5,46.2,-1.7,-0.04
Real Madrid,26,27.6,38,3420,90,100,38.0,418,85,,120,18,198,2.29,70,25,+45,+1.18,63.4,28.4,+35.0,+0.92
Real Sociedad,27,24.8,38,3420,90,100,38.0,418,83,,126,22,195,1.47,56,48,+8,+0.21,45.2,39.2,+6.0,+0.16
Sevilla,26,27.7,38,3420,90,100,38.0,418,83,,133,23,187,1.84,54,34,+20,+0.53,47.1,33.6,+13.6,+0.36
Valencia,28,27.0,38,3420,90,100,38.0,418,83,,132,22,187,1.39,46,53,-7,-0.18,40.3,52.3,-12.0,-0.32
Valladolid,30,27.1,38,3420,90,100,38.0,418,83,,126,22,179,1.11,32,43,-11,-0.29,35.5,46.3,-10.8,-0.28
Villarreal,25,27.6,38,3420,90,100,38.0,418,84,,132,20,188,1.58,63,49,+14,+0.37,57.0,44.6,+12.4,+0.33
