Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Augsburg,28,26.2,34,3060,90,100,34.0,374,84,,111,19,193,1.06,45,63,-18,-0.53,42.1,54.9,-12.9,-0.38
Bayern Munich,29,26.7,34,3060,90,100,34.0,374,84,,104,21,163,2.41,100,32,+68,+2.00,82.3,34.3,+48.0,+1.41
Dortmund,27,25.8,34,3060,90,100,34.0,374,84,,111,19,191,2.03,84,41,+43,+1.26,59.2,39.4,+19.8,+0.58
Düsseldorf,28,27.1,34,3060,90,100,34.0,374,84,,115,21,188,0.88,36,67,-31,-0.91,33.0,56.2,-23.2,-0.68
Eint Frankfurt,27,27.0,34,3060,90,100,34.0,374,84,,109,21,194,1.32,59,60,-1,-0.03,52.5,49.1,+3.4,+0.10
Freiburg,26,26.4,34,3060,90,100,34.0,374,84,,111,20,189,1.41,48,47,+1,+0.03,41.7,60.9,-19.2,-0.56
Hertha BSC,32,26.2,34,3060,90,100,34.0,374,83,,109,22,195,1.21,48,59,-11,-0.32,40.6,51.4,-10.8,-0.32
Hoffenheim,31,26.0,34,3060,90,100,34.0,374,82,,114,24,187,1.53,53,53,0,0.00,49.9,51.8,-2.0,-0.06
Köln,29,25.6,34,3060,90,100,34.0,374,82,,117,24,187,1.06,51,69,-18,-0.53,47.2,51.5,-4.3,-0.13
Leverkusen,24,26.1,34,3060,90,100,34.0,374,82,,113,25,186,1.85,61,44,+17,+0.50,56.6,45.1,+11.5,+0.34
M'Gladbach,25,26.3,34,3060,90,100,34.0,374,84,,112,18,183,1.91,66,40,+26,+0.76,66.4,42.4,+23.9,+0.70
Mainz 05,25,24.6,34,3060,90,100,34.0,374,83,,117,23,189,1.09,44,65,-21,-0.62,44.3,57.3,-13.0,-0.38
Paderborn 07,27,25.7,34,3060,90,100,34.0,374,83,,119,22,187,0.59,37,74,-37,-1.09,38.4,67.5,-29.0,-0.85
RB Leipzig,29,24.2,34,3060,90,100,34.0,374,83,,113,23,182,1.94,81,37,+44,+1.29,71.0,36.2,+34.8,+1.02
Schalke 04,29,24.6,34,3060,90,100,34.0,374,84,,106,21,179,1.15,38,58,-20,-0.59,35.4,49.7,-14.4,-0.42
Union Berlin,26,27.7,34,3060,90,100,34.0,374,84,,113,20,193,1.21,41,58,-17,-0.50,38.3,51.5,-13.2,-0.39
Werder Bremen,30,26.7,34,3060,90,100,34.0,374,84,,117,18,168,0.91,42,69,-27,-0.79,41.4,48.1,-6.7,-0.20
Wolfsburg,26,26.0,34,3060,90,100,34.0,374,85,,106,18,199,1.44,48,46,+2,+0.06,47.3,40.1,+7.3,+0.21
