Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,25,25.7,38,3420,90,100,38.0,418,,,108,0,313,1.58,57,39,+18,+0.47,67.4,37.2,+30.2,+0.80
Benevento,41,26.0,38,3420,90,100,38.0,418,,,113,0,311,0.55,33,84,-51,-1.34,39.1,74.7,-35.6,-0.94
Bologna,30,26.8,38,3420,90,100,38.0,418,,,113,0,331,1.03,40,52,-12,-0.32,37.1,53.7,-16.6,-0.44
Cagliari,29,27.1,38,3420,90,100,38.0,418,,,114,0,295,1.03,33,61,-28,-0.74,40.1,58.7,-18.7,-0.49
Chievo,25,30.3,38,3420,90,100,38.0,418,,,109,0,345,1.05,36,59,-23,-0.61,32.3,54.3,-22.0,-0.58
Crotone,29,25.6,38,3420,90,100,38.0,418,,,114,0,318,0.92,40,66,-26,-0.68,36.2,59.0,-22.8,-0.60
Fiorentina,27,25.0,38,3420,90,100,38.0,418,,,111,0,325,1.50,54,46,+8,+0.21,57.2,42.5,+14.7,+0.39
Genoa,33,27.9,38,3420,90,100,38.0,418,,,113,0,329,1.08,33,43,-10,-0.26,43.3,45.6,-2.2,-0.06
Hellas Verona,32,25.9,38,3420,90,100,38.0,418,,,113,0,317,0.66,30,78,-48,-1.26,34.5,76.1,-41.6,-1.09
Inter,22,27.6,38,3420,90,100,38.0,418,,,110,0,283,1.89,66,30,+36,+0.95,60.8,35.3,+25.6,+0.67
Juventus,24,29.2,38,3420,90,100,38.0,418,,,111,0,267,2.50,86,24,+62,+1.63,59.8,28.7,+31.0,+0.82
Lazio,24,26.5,38,3420,90,100,38.0,418,,,114,0,313,1.89,89,49,+40,+1.05,63.5,44.4,+19.0,+0.50
Milan,23,25.0,38,3420,90,100,38.0,418,,,107,0,334,1.68,56,42,+14,+0.37,54.2,39.4,+14.8,+0.39
Napoli,23,28.0,38,3420,90,100,38.0,418,,,113,0,308,2.39,77,29,+48,+1.26,66.6,25.4,+41.2,+1.08
Roma,27,27.4,38,3420,90,100,38.0,418,,,114,0,305,2.03,61,28,+33,+0.87,69.3,39.9,+29.4,+0.77
Sampdoria,27,27.0,38,3420,90,100,38.0,418,,,110,0,311,1.42,56,60,-4,-0.11,51.3,63.2,-12.0,-0.31
Sassuolo,28,27.2,38,3420,90,100,38.0,418,,,113,0,322,1.13,29,59,-30,-0.79,49.4,49.3,+0.1,0.00
SPAL,29,26.7,38,3420,90,100,38.0,418,,,110,0,332,1.00,39,59,-20,-0.53,37.9,60.1,-22.2,-0.59
Torino,27,28.1,38,3420,90,100,38.0,418,,,106,0,315,1.42,54,46,+8,+0.21,47.1,52.4,-5.3,-0.14
Udinese,27,26.5,38,3420,90,100,38.0,418,,,113,0,319,1.05,48,63,-15,-0.39,43.6,50.8,-7.2,-0.19
