Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Augsburg,27,26.6,34,3060,90,100,34.0,374,,,95,0,143,1.21,43,46,-3,-0.09,44.8,42.9,+1.9,+0.06
Bayern Munich,28,27.4,34,3060,90,100,34.0,374,,,102,0,134,2.47,92,28,+64,+1.88,77.7,33.6,+44.1,+1.30
Dortmund,30,25.9,34,3060,90,100,34.0,374,,,95,0,141,1.62,64,47,+17,+0.50,63.7,44.5,+19.2,+0.56
Eint Frankfurt,28,26.4,34,3060,90,100,34.0,374,,,101,0,137,1.44,45,45,0,0.00,43.5,42.1,+1.3,+0.04
Freiburg,29,24.8,34,3060,90,100,34.0,374,,,96,0,142,1.06,32,56,-24,-0.71,41.3,50.6,-9.3,-0.27
Hamburger SV,29,25.0,34,3060,90,100,34.0,374,,,97,0,138,0.91,29,53,-24,-0.71,37.0,52.5,-15.6,-0.46
Hannover 96,26,26.4,34,3060,90,100,34.0,374,,,100,0,136,1.15,44,54,-10,-0.29,46.0,54.3,-8.3,-0.25
Hertha BSC,25,26.4,34,3060,90,100,34.0,374,,,95,0,142,1.26,43,46,-3,-0.09,39.9,46.6,-6.7,-0.20
Hoffenheim,26,25.0,34,3060,90,100,34.0,374,,,102,0,136,1.62,66,48,+18,+0.53,51.7,47.5,+4.2,+0.12
Köln,31,25.3,34,3060,90,100,34.0,374,,,101,0,136,0.65,35,70,-35,-1.03,42.2,67.8,-25.5,-0.75
Leverkusen,24,24.0,34,3060,90,100,34.0,374,,,102,0,135,1.62,58,44,+14,+0.41,59.2,37.0,+22.2,+0.65
M'Gladbach,27,25.7,34,3060,90,100,34.0,374,,,97,0,140,1.38,47,52,-5,-0.15,51.4,51.5,-0.1,0.00
Mainz 05,27,25.3,34,3060,90,100,34.0,374,,,101,0,137,1.06,38,52,-14,-0.41,35.3,51.5,-16.1,-0.47
RB Leipzig,23,23.4,34,3060,90,100,34.0,374,,,98,0,139,1.56,57,53,+4,+0.12,54.2,45.7,+8.5,+0.25
Schalke 04,24,26.1,34,3060,90,100,34.0,374,,,102,0,136,1.85,53,37,+16,+0.47,47.8,42.3,+5.5,+0.16
Stuttgart,26,25.6,34,3060,90,100,34.0,374,,,100,0,137,1.50,36,36,0,0.00,39.6,45.7,-6.1,-0.18
Werder Bremen,25,26.3,34,3060,90,100,34.0,374,,,97,0,140,1.24,37,40,-3,-0.09,39.9,48.5,-8.7,-0.26
Wolfsburg,29,25.1,34,3060,90,100,34.0,374,,,91,0,147,0.97,36,48,-12,-0.35,39.2,49.5,-10.3,-0.30
