Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Alavés,30,38.0,645,410,353,224,68,206,622,33.1,416,6255,1547,24.7,2197,2904,1154,605,146,1,459,466,1111,759,8
Athletic Club,26,38.0,656,394,317,269,70,213,681,31.3,468,6774,1866,27.5,1902,3255,1617,576,110,3,466,459,1115,600,9
Atlético Madrid,26,38.0,778,498,410,279,89,253,722,35.0,469,6545,1868,28.5,2198,2987,1360,687,135,1,552,423,1201,631,12
Barcelona,25,38.0,529,365,235,214,80,171,525,32.6,354,6080,1749,28.8,1711,2791,1578,520,105,4,415,426,955,395,9
Betis,29,38.0,543,350,278,200,65,148,497,29.8,349,5366,1444,26.9,1733,2545,1088,569,104,5,465,437,980,671,10
Celta Vigo,23,38.0,545,334,298,195,52,177,516,34.3,339,5466,1619,29.6,1863,2478,1125,531,109,1,422,397,942,558,10
Eibar,27,38.0,552,361,239,235,78,190,575,33.0,385,6186,1953,31.6,1413,2839,1934,519,59,0,460,545,1097,509,10
Espanyol,25,38.0,624,395,334,222,68,209,665,31.4,456,6195,1662,26.8,1959,2944,1292,550,125,2,425,458,1082,665,10
Getafe,32,38.0,625,417,332,224,69,227,675,33.6,448,6498,1681,25.9,2058,3116,1324,537,77,0,460,442,1067,690,10
Girona,25,38.0,541,349,266,218,57,178,568,31.3,390,6174,1662,26.9,1824,3038,1312,507,95,2,412,425,966,630,7
La Coruña,32,38.0,652,399,352,244,56,216,640,33.8,424,6299,1629,25.9,2256,2768,1275,584,123,1,461,410,1062,755,15
Las Palmas,36,38.0,574,384,304,211,59,195,604,32.3,409,5377,1543,28.7,1688,2538,1151,537,118,4,419,419,993,517,4
Leganés,28,38.0,673,453,324,281,68,229,647,35.4,418,6608,1924,29.1,2026,3188,1394,568,88,2,480,558,1231,534,9
Levante,33,38.0,551,369,296,202,53,186,557,33.4,371,5989,1528,25.5,2065,2737,1187,600,139,5,461,449,1000,681,6
Málaga,37,38.0,636,406,339,230,67,219,661,33.1,442,6622,1699,25.7,2136,3132,1354,611,103,2,508,419,1055,629,7
Real Madrid,24,38.0,592,411,281,233,78,174,591,29.4,417,5941,1690,28.4,1798,2704,1439,480,88,7,392,349,941,394,11
Real Sociedad,27,38.0,487,315,221,209,57,168,517,32.5,349,5782,1590,27.5,1747,2675,1360,535,99,4,436,412,899,514,10
Sevilla,31,38.0,663,420,327,262,74,223,640,34.8,417,5764,1610,27.9,1816,2686,1262,588,130,4,458,379,1042,603,12
Valencia,25,38.0,689,408,387,227,75,222,612,36.3,390,6339,1607,25.4,2166,2843,1330,593,119,0,474,436,1125,726,12
Villarreal,32,38.0,618,387,314,250,54,219,661,33.1,442,5323,1399,26.3,1670,2505,1148,647,139,3,508,407,1025,719,1
