Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atalanta,30,38.0,702,445,313,294,95,290,775,37.4,485,5978,1870,31.3,1674,2939,1365,607,125,3,482,252,954,847,9
Bologna,31,38.0,619,399,283,257,79,231,691,33.4,460,6612,1852,28.0,2121,2948,1543,654,143,6,511,257,876,952,15
Brescia,32,38.0,586,353,309,222,55,224,665,33.7,441,6516,1522,23.4,2419,2715,1382,701,196,3,505,245,831,963,14
Cagliari,33,38.0,638,409,331,236,71,219,672,32.6,453,5313,1481,27.9,2100,2194,1019,656,200,3,456,255,893,921,10
Fiorentina,33,38.0,635,401,349,211,75,184,651,28.3,467,5944,1627,27.4,1968,2584,1392,561,119,0,442,263,898,915,7
Genoa,34,38.0,616,391,315,224,77,184,606,30.4,422,6088,1650,27.1,2197,2628,1263,622,163,1,459,311,927,861,12
Hellas Verona,30,38.0,549,345,271,209,69,185,544,34.0,359,5569,1634,29.3,2001,2324,1244,597,190,3,407,279,828,1035,9
Inter,29,38.0,576,373,239,246,91,200,633,31.6,433,5524,1513,27.4,1697,2372,1455,600,141,2,459,260,836,741,6
Juventus,30,38.0,624,382,273,232,119,208,597,34.8,389,5218,1480,28.4,1400,2341,1477,608,143,4,465,269,893,709,15
Lazio,27,38.0,641,404,316,246,79,218,693,31.5,475,5603,1601,28.6,2018,2338,1247,582,160,2,422,244,885,765,8
Lecce,30,38.0,575,385,309,201,65,211,682,30.9,471,5378,1345,25.0,2150,2234,994,625,170,5,455,266,841,894,12
Milan,32,38.0,648,411,305,260,83,206,652,31.6,446,6213,1744,28.1,1927,2840,1446,574,121,3,453,324,972,696,12
Napoli,25,38.0,576,377,260,226,90,216,597,36.2,381,5574,1572,28.2,1549,2425,1600,536,104,5,432,192,768,566,9
Parma,25,38.0,644,405,350,230,64,244,741,32.9,497,6213,1645,26.5,2482,2604,1127,683,200,1,483,264,908,971,10
Roma,31,38.0,551,341,239,215,97,175,539,32.5,364,5080,1461,28.8,1592,2332,1156,531,117,2,414,235,786,771,19
Sampdoria,31,38.0,651,411,300,256,95,218,668,32.6,450,5978,1563,26.1,1910,2725,1343,622,130,2,492,288,939,902,11
Sassuolo,31,38.0,638,394,312,231,95,222,589,37.7,367,5467,1625,29.7,1882,2271,1314,619,151,2,468,248,886,678,12
SPAL,34,38.0,604,356,319,212,73,196,591,33.2,395,5605,1450,25.9,1970,2458,1177,579,182,4,397,250,854,893,13
Torino,27,38.0,661,401,335,248,78,215,611,35.2,396,5723,1536,26.8,2068,2422,1233,715,186,0,529,339,1000,1059,13
Udinese,25,38.0,655,395,363,222,70,242,666,36.3,424,6284,1674,26.6,2494,2594,1196,652,183,0,469,264,919,870,9
