Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atalanta,27,38.0,708,470,337,284,87,286,718,39.8,432,5905,1777,30.1,1747,2780,1378,575,104,2,471,405,1113,749,9
Bologna,29,38.0,692,420,379,235,78,241,675,35.7,434,6892,1768,25.7,2466,3025,1401,645,159,2,486,312,1004,843,16
Cagliari,30,38.0,651,421,293,250,108,222,624,35.6,402,5728,1482,25.9,1894,2399,1435,604,133,1,471,257,908,858,12
Chievo,36,38.0,687,460,354,257,76,249,711,35.0,462,7284,1728,23.7,2467,3369,1448,608,135,2,473,362,1049,955,12
Empoli,29,38.0,590,372,286,222,82,193,547,35.3,354,6206,1535,24.7,2292,2665,1249,555,148,4,407,270,860,758,5
Fiorentina,27,38.0,621,404,295,262,64,213,574,37.1,361,5521,1467,26.6,1800,2550,1171,594,136,3,458,326,947,901,8
Frosinone,33,38.0,596,385,336,197,63,206,603,34.2,397,6617,1627,24.6,2639,2747,1231,564,156,0,408,341,937,961,6
Genoa,31,38.0,740,470,374,277,89,285,686,41.5,401,6258,1638,26.2,2100,2787,1371,541,126,3,415,342,1082,965,7
Inter,23,38.0,640,401,284,254,102,232,664,34.9,432,5964,1644,27.6,1576,2635,1753,521,120,1,401,271,911,635,6
Juventus,31,38.0,583,383,270,227,86,213,577,36.9,364,5679,1494,26.3,1683,2559,1437,534,140,3,394,329,912,655,11
Lazio,30,38.0,671,434,308,273,90,238,693,34.3,455,5778,1619,28.0,1899,2642,1237,615,154,0,461,367,1038,734,10
Milan,23,38.0,684,453,359,238,87,252,708,35.6,456,6489,1714,26.4,2201,2873,1415,585,124,2,461,286,970,842,14
Napoli,26,38.0,657,446,280,266,111,253,690,36.7,437,6255,1634,26.1,1639,2807,1809,522,114,3,408,262,919,554,4
Parma,31,38.0,581,366,334,196,51,195,626,31.2,431,6728,1538,22.9,2930,2687,1111,686,189,4,497,314,895,1132,9
Roma,26,38.0,543,351,239,221,83,220,646,34.1,426,5885,1482,25.2,1857,2701,1327,571,168,0,403,325,868,839,10
Sampdoria,24,38.0,668,411,310,258,100,245,648,37.8,403,6143,1572,25.6,1706,2757,1680,620,128,0,492,224,892,770,11
Sassuolo,29,38.0,577,378,310,198,69,184,527,34.9,343,5512,1437,26.1,1939,2312,1261,522,121,6,401,299,876,808,12
SPAL,28,38.0,613,389,335,212,66,244,619,39.4,375,5607,1381,24.6,2135,2418,1054,607,157,2,450,319,932,859,10
Torino,25,38.0,683,469,308,283,92,206,589,35.0,383,5915,1733,29.3,1914,2744,1257,689,130,2,559,389,1072,850,6
Udinese,31,38.0,708,427,394,244,70,278,706,39.4,428,6337,1500,23.7,2438,2865,1034,689,172,3,517,343,1051,1038,7
