Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Amiens,26,38.0,657,454,323,258,76,206,700,29.4,494,6108,1597,26.1,2073,2827,1208,603,146,2,457,263,920,984,4
Angers,24,38.0,665,452,353,237,75,229,803,28.5,574,7461,1866,25.0,2742,3644,1075,593,119,2,474,365,1030,882,5
Bordeaux,33,38.0,704,435,340,290,74,228,732,31.1,504,6759,1757,26.0,2339,3197,1223,545,122,3,423,306,1010,945,11
Caen,26,38.0,681,412,372,257,52,239,756,31.6,517,6402,1593,24.9,2488,2898,1016,604,148,4,456,317,998,1040,6
Dijon,26,38.0,705,439,353,276,76,202,707,28.6,505,6339,1652,26.1,2082,2929,1328,588,130,8,458,307,1012,875,18
Guingamp,30,38.0,743,498,361,304,78,209,604,34.6,395,6895,1825,26.5,2250,3352,1293,631,112,4,519,302,1045,825,7
Lille,25,38.0,641,434,308,264,69,240,665,36.1,425,5904,1596,27.0,1882,2852,1170,580,111,1,469,267,908,801,7
Lyon,25,38.0,591,389,285,230,76,186,520,35.8,334,5866,1644,28.0,1791,2705,1370,551,143,4,408,315,906,726,6
Marseille,24,38.0,728,444,340,300,88,244,755,32.3,511,6462,1860,28.8,2006,3079,1377,537,115,4,422,271,999,703,12
Monaco,42,38.0,732,453,374,273,85,234,742,31.5,508,6452,1749,27.1,2092,3006,1354,503,92,1,411,295,1027,837,6
Montpellier,25,38.0,751,424,367,291,93,275,784,35.1,509,6593,1690,25.6,2254,3193,1146,605,117,3,488,320,1071,858,9
Nantes,33,38.0,768,481,379,293,96,241,749,32.2,508,6768,1907,28.2,2328,3227,1213,564,117,2,447,345,1113,894,6
Nice,30,38.0,642,385,336,241,65,226,679,33.3,453,6017,1591,26.4,2135,2715,1167,592,124,5,468,325,967,802,9
Nîmes,23,38.0,735,462,398,258,79,264,798,33.1,534,6440,1703,26.4,2180,3080,1180,615,120,2,495,277,1012,892,10
Paris S-G,30,38.0,668,421,286,285,97,251,740,33.9,489,6356,1821,28.7,1802,2962,1592,516,104,2,412,249,917,553,13
Reims,27,38.0,759,453,437,243,79,251,772,32.5,521,7066,1773,25.1,2548,3131,1387,586,118,2,468,344,1103,966,8
Rennes,28,38.0,641,378,294,262,85,232,704,33.0,472,6289,1686,26.8,2168,2932,1189,548,123,5,425,285,926,811,5
Saint-Étienne,29,38.0,669,427,317,267,85,210,709,29.6,499,5978,1586,26.5,2004,2790,1184,517,95,2,422,304,973,826,12
Strasbourg,26,38.0,647,384,317,247,83,214,626,34.2,412,6269,1570,25.0,2262,2917,1090,536,129,4,407,347,994,796,10
Toulouse,29,38.0,705,459,394,227,84,239,655,36.5,416,6537,1739,26.6,2478,2789,1270,633,142,3,491,300,1005,919,9
