Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Amiens,30,38.0,606,369,339,203,64,168,529,31.8,361,4874,1347,27.6,1849,2140,885,650,174,4,476,502,1108,765,12
Angers,27,38.0,571,357,320,194,57,167,623,26.8,456,5172,1333,25.8,1699,2510,963,566,81,2,485,402,973,550,11
Bordeaux,31,38.0,654,413,333,253,68,189,581,32.5,392,5072,1461,28.8,1646,2339,1087,521,112,4,409,432,1086,577,12
Caen,26,38.0,638,372,350,224,64,199,654,30.4,455,5833,1541,26.4,1963,2727,1143,631,105,2,526,515,1153,675,11
Dijon,26,38.0,628,384,347,227,54,155,550,28.2,395,5360,1490,27.8,1877,2419,1064,555,123,4,432,474,1102,586,7
Guingamp,23,38.0,564,346,307,193,64,161,536,30.0,375,4879,1344,27.5,1618,2246,1015,518,129,5,389,482,1046,621,6
Lille,25,38.0,609,367,338,213,58,174,502,34.7,328,4622,1335,28.9,1606,2115,901,542,111,4,431,445,1054,519,16
Lyon,26,38.0,568,362,293,205,70,153,480,31.9,327,6138,1724,28.1,2076,2677,1385,517,119,3,398,437,1005,525,14
Marseille,26,38.0,663,406,328,252,83,202,573,35.3,371,4573,1471,32.2,1497,1976,1100,561,102,4,459,405,1068,391,8
Metz,36,38.0,665,403,365,226,74,221,621,35.6,400,4593,1343,29.2,1690,2033,870,524,107,4,417,414,1079,548,13
Monaco,32,38.0,609,373,257,254,98,182,607,30.0,425,5299,1497,28.3,1487,2439,1373,545,107,5,438,424,1033,549,11
Montpellier,23,38.0,598,373,326,216,56,166,479,34.7,313,5227,1451,27.8,1740,2470,1017,529,104,0,425,415,1013,544,15
Nantes,30,38.0,673,403,376,236,61,229,618,37.1,389,5033,1371,27.2,1590,2283,1160,692,154,6,538,457,1130,691,8
Nice,31,38.0,536,319,327,154,55,176,505,34.9,329,4664,1303,27.9,1832,1875,957,561,138,2,423,414,950,479,7
Paris S-G,28,38.0,573,376,276,206,91,168,518,32.4,350,4395,1345,30.6,1427,1763,1205,473,109,3,364,299,872,395,5
Rennes,28,38.0,497,315,248,178,71,157,573,27.4,416,5207,1411,27.1,1553,2373,1281,598,102,6,496,434,931,604,13
Saint-Étienne,30,38.0,558,352,315,184,59,189,567,33.3,378,4936,1353,27.4,1817,2125,994,626,134,6,492,380,938,641,20
Strasbourg,25,38.0,666,442,396,213,57,186,578,32.2,392,4537,1279,28.2,1665,1992,880,533,97,3,436,473,1139,568,19
Toulouse,25,38.0,589,338,326,194,69,169,550,30.7,381,4953,1342,27.1,1832,2097,1024,579,116,0,463,430,1019,594,13
Troyes,25,38.0,544,317,326,156,62,148,565,26.2,417,5851,1493,25.5,2327,2559,965,551,128,4,423,446,990,658,13
