Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Amiens,2,38.0,42,4,0,2,0,51.7,0.27,+9.7,+0.25,248,740,33.5,751,73,62.5,47.3,277,97.8,65.5,486,39,8.0,21,0.55,14.9
Angers,3,38.0,52,7,1,4,3,43.0,0.27,-6.0,-0.16,169,472,35.8,603,136,50.2,41.5,182,92.9,64.5,367,31,8.4,31,0.82,17.0
Bordeaux,2,38.0,48,4,4,6,1,37.7,0.25,-9.3,-0.24,175,542,32.3,777,99,48.6,42.5,183,89.6,65.2,362,29,8.0,21,0.55,14.3
Caen,2,38.0,52,5,0,6,4,44.7,0.27,-3.3,-0.09,326,713,45.7,775,84,67.7,50.1,200,94.0,64.4,381,33,8.7,18,0.47,14.3
Dijon,1,38.0,73,11,2,7,3,74.7,0.32,+4.7,+0.12,285,650,43.8,1153,171,45.8,40.2,182,67.0,52.6,446,47,10.5,48,1.26,16.9
Guingamp,1,38.0,59,5,0,7,1,55.0,0.29,-3.0,-0.08,195,558,34.9,719,110,52.2,43.6,209,87.6,65.5,394,39,9.9,16,0.42,15.3
Lille,4,38.0,67,5,1,5,3,61.3,0.31,-2.7,-0.07,124,333,37.2,802,143,27.7,31.7,157,70.7,57.6,351,38,10.8,38,1.00,16.2
Lyon,2,38.0,43,5,2,3,3,39.3,0.23,-0.7,-0.02,114,309,36.9,742,119,32.1,34.7,132,53.8,48.7,409,35,8.6,20,0.53,14.7
Marseille,2,38.0,47,4,2,5,2,44.1,0.28,-0.9,-0.02,158,412,38.3,750,127,41.3,37.2,143,71.3,53.4,311,28,9.0,17,0.45,14.6
Metz,3,38.0,76,3,1,10,2,69.3,0.31,-4.7,-0.12,207,583,35.5,694,138,56.1,44.3,206,94.2,65.9,406,32,7.9,27,0.71,15.2
Monaco,3,38.0,45,5,1,4,1,45.1,0.27,+1.1,+0.03,144,417,34.5,586,104,49.7,41.9,179,70.4,54.6,421,36,8.6,23,0.61,15.5
Montpellier,1,38.0,33,5,1,4,0,37.9,0.28,+4.9,+0.13,217,510,42.5,761,178,52.0,41.4,161,70.8,51.8,336,46,13.7,18,0.47,16.0
Nantes,2,38.0,41,3,0,8,0,33.2,0.23,-7.8,-0.21,164,507,32.3,665,123,47.1,40.8,215,90.2,64.6,438,52,11.9,14,0.37,13.7
Nice,2,38.0,52,3,2,1,3,49.0,0.29,0.0,0.00,97,272,35.7,552,110,25.5,29.4,169,77.5,55.2,415,20,4.8,9,0.24,13.3
Paris S-G,2,38.0,29,3,2,6,0,32.4,0.24,+3.4,+0.09,52,101,51.5,559,101,13.6,24.0,85,29.4,33.6,347,27,7.8,31,0.82,16.2
Rennes,3,38.0,44,5,1,7,2,50.0,0.30,+8.0,+0.21,169,521,32.4,644,93,55.7,45.4,181,89.5,65.1,375,42,11.2,36,0.95,17.2
Saint-Étienne,2,38.0,50,6,3,4,1,53.3,0.28,+4.3,+0.11,185,524,35.3,811,100,46.9,38.9,175,82.3,55.3,406,38,9.4,15,0.40,14.3
Strasbourg,3,38.0,67,6,0,8,0,57.7,0.29,-9.3,-0.24,221,587,37.6,700,94,55.0,43.7,229,88.2,62.8,401,37,9.2,13,0.34,12.4
Toulouse,1,38.0,54,6,3,9,0,52.6,0.30,-1.4,-0.04,239,615,38.9,793,115,55.0,44.3,206,86.9,61.5,448,41,9.2,44,1.16,17.1
Troyes,2,38.0,59,4,0,8,1,55.0,0.26,-3.0,-0.08,210,659,31.9,776,124,54.4,44.4,245,96.7,65.5,493,47,9.5,20,0.53,15.4
