Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,2,38.0,57,3,0,6,0,54.9,0.38,-2.1,-0.05,333,658,50.6,796,113,58.4,45.0,307,62.9,47.3,337,32,9.5,23,0.61,14.7
Athletic Club,2,38.0,42,5,1,8,1,36.7,0.29,-4.3,-0.11,242,542,44.6,815,207,41.7,38.7,272,74.3,56.5,377,22,5.8,24,0.63,14.3
Atlético Madrid,1,38.0,25,1,0,6,3,31.8,0.25,+9.8,+0.26,269,620,43.4,714,122,59.5,44.6,289,67.5,50.2,327,19,5.8,18,0.47,15.3
Barcelona,2,38.0,38,5,1,5,2,35.8,0.26,-0.2,-0.01,160,288,55.6,1065,185,22.0,29.1,209,25.8,29.9,238,23,9.7,26,0.68,16.7
Betis,2,38.0,50,8,1,7,3,48.6,0.33,+1.6,+0.04,238,659,36.1,968,161,52.5,43.0,246,61.4,48.5,331,20,6.0,22,0.58,14.5
Cádiz,3,38.0,58,9,2,5,1,47.0,0.28,-10.0,-0.26,398,1033,38.5,837,74,83.4,57.9,352,95.2,69.4,397,37,9.3,17,0.45,13.2
Celta Vigo,2,38.0,57,7,2,4,1,50.9,0.35,-5.1,-0.13,216,668,32.3,1032,159,45.1,38.7,316,64.2,49.1,360,27,7.5,27,0.71,15.0
Eibar,2,38.0,52,3,0,5,0,49.1,0.34,-2.9,-0.08,344,860,40.0,936,124,67.3,53.5,252,91.3,72.7,264,21,8.0,49,1.29,17.0
Elche,2,38.0,55,6,0,8,1,53.2,0.30,-0.8,-0.02,323,679,47.6,1043,167,43.0,38.4,347,66.3,47.4,361,28,7.8,21,0.55,12.8
Getafe,2,38.0,43,7,0,4,3,41.2,0.33,+1.2,+0.03,388,952,40.8,869,43,83.7,56.6,263,85.6,59.8,280,25,8.9,49,1.29,16.7
Granada,3,38.0,65,6,2,4,1,63.2,0.35,-0.8,-0.02,330,890,37.1,940,81,67.2,49.7,316,81.6,59.4,366,16,4.4,42,1.11,16.5
Huesca,2,38.0,53,5,1,10,2,46.9,0.30,-4.1,-0.11,227,589,38.5,1092,178,41.8,37.7,292,45.5,40.5,355,24,6.8,22,0.58,14.5
Levante,3,38.0,57,3,1,6,2,52.8,0.31,-2.2,-0.06,171,445,38.4,941,196,38.4,36.2,273,30.8,31.5,350,23,6.6,37,0.97,15.1
Osasuna,3,38.0,48,5,0,6,2,51.2,0.33,+5.2,+0.14,487,1041,46.8,991,92,76.3,54.0,301,94.7,65.1,429,35,8.2,55,1.45,16.1
Real Madrid,1,38.0,28,7,0,3,1,29.8,0.22,+2.8,+0.07,136,351,38.7,1074,234,24.1,32.2,233,39.5,39.2,286,27,9.4,24,0.63,15.0
Real Sociedad,1,38.0,38,3,0,5,1,32.4,0.30,-4.6,-0.12,232,561,41.4,988,128,42.7,38.1,215,64.7,52.0,291,17,5.8,26,0.68,15.7
Sevilla,2,38.0,33,4,0,4,2,29.4,0.23,-1.6,-0.04,219,460,47.6,1017,165,33.3,34.5,225,53.8,42.2,324,34,10.5,26,0.68,15.4
Valencia,2,38.0,53,5,3,7,2,51.3,0.27,+0.3,+0.01,335,723,46.3,876,146,54.8,41.9,338,71.9,53.6,448,29,6.5,23,0.61,13.1
Valladolid,2,38.0,57,6,1,5,0,55.6,0.33,-1.4,-0.04,267,851,31.4,880,129,65.7,49.2,331,82.5,62.9,392,24,6.1,20,0.53,13.6
Villarreal,2,38.0,45,7,0,4,2,37.6,0.25,-4.4,-0.12,225,494,45.5,1099,205,31.2,33.5,304,49.7,43.4,450,42,9.3,21,0.55,13.7
