Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Augsburg,27,34.0,10179,14251,71.4,219096,88617,3627,4483,80.9,4284,5367,79.8,2116,3888,54.4,30,31.1,-3.1,312,856,263,110,1069
Bayern Munich,28,34.0,20441,23840,85.7,398949,119150,8197,9030,90.8,8974,10005,89.7,3042,4271,71.2,72,56.2,+13.8,462,1705,462,112,1710
Dortmund,30,34.0,16586,20322,81.6,316583,100510,6657,7606,87.5,7466,8554,87.3,2242,3633,61.7,44,43.3,-3.3,342,1302,337,68,1418
Eint Frankfurt,28,34.0,11441,15528,73.7,248227,92580,3763,4610,81.6,5261,6456,81.5,2263,3957,57.2,34,31.8,+3.2,273,931,275,81,1187
Freiburg,29,34.0,11014,14766,74.6,230802,86384,3870,4751,81.5,5146,6113,84.2,1825,3387,53.9,21,24.1,-4.1,263,821,208,64,1030
Hamburger SV,29,34.0,10768,15037,71.6,219771,83045,4062,4995,81.3,4624,5875,78.7,1896,3519,53.9,18,24.8,-9.8,263,881,249,84,1118
Hannover 96,26,34.0,10882,14890,73.1,221155,91148,4006,4929,81.3,4817,5966,80.7,1869,3408,54.8,26,32.2,-4.2,307,807,208,79,1113
Hertha BSC,25,34.0,11673,15389,75.9,237392,85240,4535,5391,84.1,4949,5949,83.2,2025,3532,57.3,32,27.0,+7.0,224,815,176,64,982
Hoffenheim,26,34.0,13769,17276,79.7,273134,97750,5191,5995,86.6,6362,7277,87.4,2029,3492,58.1,47,38.7,+5.3,355,988,301,71,1364
Köln,31,34.0,11700,15704,74.5,242131,94026,4414,5329,82.8,5086,6120,83.1,2062,3788,54.4,24,28.7,-4.7,275,1036,247,66,1209
Leverkusen,24,34.0,14642,18413,79.5,282222,98199,6112,7090,86.2,6171,7242,85.2,2139,3482,61.4,46,43.6,+2.4,378,1140,324,92,1414
M'Gladbach,27,34.0,14496,17948,80.8,284546,94880,5498,6335,86.8,6738,7638,88.2,2062,3406,60.5,26,35.6,-6.6,323,1040,268,58,1241
Mainz 05,27,34.0,10117,13929,72.6,212928,80582,3707,4553,81.4,4398,5444,80.8,1866,3471,53.8,27,24.2,+2.8,293,818,216,57,1064
RB Leipzig,23,34.0,14201,18205,78.0,261551,98862,6352,7437,85.4,5805,6994,83.0,1806,3163,57.1,43,39.3,+3.7,364,1145,315,50,1432
Schalke 04,24,34.0,12031,15577,77.2,238796,83418,4473,5276,84.8,5741,6750,85.1,1695,3137,54.0,33,30.4,+1.6,304,763,219,62,1003
Stuttgart,26,34.0,12101,16046,75.4,248706,87143,4527,5323,85.0,5322,6386,83.3,2117,3869,54.7,22,24.1,-2.1,235,852,210,70,987
Werder Bremen,25,34.0,12071,16061,75.2,250402,92840,4356,5266,82.7,5416,6565,82.5,2137,3657,58.4,27,30.4,-4.4,318,978,264,89,1250
Wolfsburg,29,34.0,12757,16363,78.0,264609,92068,4560,5336,85.5,5808,6825,85.1,2250,3776,59.6,26,25.2,+0.8,245,938,208,66,1097
