Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Amiens,26,38.0,12031,16181,74.4,242601,93263,4758,5661,84.0,5114,6280,81.4,1988,3729,53.3,22,23.1,-1.1,282,977,207,59,1132
Angers,24,38.0,13020,16742,77.8,252877,98043,5367,6212,86.4,5615,6727,83.5,1876,3329,56.4,27,29.6,-2.6,335,917,260,59,1161
Bordeaux,33,38.0,14650,18550,79.0,282828,102206,6156,7141,86.2,6229,7288,85.5,2066,3564,58.0,26,27.9,-1.9,330,1025,223,65,1210
Caen,26,38.0,11523,15495,74.4,242531,91076,4423,5242,84.4,4689,5699,82.3,2221,4052,54.8,17,18.8,-1.8,213,741,150,63,861
Dijon,26,38.0,13058,16945,77.1,269514,96972,4861,5697,85.3,5821,6882,84.6,2201,3848,57.2,21,25.7,-4.7,316,1024,280,75,1145
Guingamp,30,38.0,11408,15709,72.6,232274,92350,4484,5481,81.8,4941,6208,79.6,1839,3516,52.3,21,27.0,-6.0,304,994,225,79,1134
Lille,25,38.0,14573,18207,80.0,283938,95780,5827,6690,87.1,6430,7408,86.8,2122,3575,59.4,49,38.3,+10.7,374,1224,268,74,1294
Lyon,25,38.0,19060,22496,84.7,367137,116202,7634,8571,89.1,8451,9430,89.6,2738,3876,70.6,54,51.6,+2.4,496,1581,381,102,1745
Marseille,24,38.0,16031,19932,80.4,302991,104493,6969,7901,88.2,6651,7667,86.7,2210,3756,58.8,45,33.5,+11.5,386,1098,307,118,1282
Monaco,42,38.0,14093,17930,78.6,280928,97059,5245,6182,84.8,6605,7703,85.7,2088,3526,59.2,25,30.9,-5.9,329,1102,283,84,1419
Montpellier,25,38.0,13580,17663,76.9,279951,105472,5290,6242,84.7,5652,6763,83.6,2459,4113,59.8,28,31.8,-3.8,371,1092,269,97,1264
Nantes,33,38.0,13301,17605,75.6,261991,103216,5378,6418,83.8,5732,6928,82.7,1999,3671,54.5,28,27.3,+0.7,372,1123,279,97,1330
Nice,30,38.0,17888,21069,84.9,342827,108024,7172,7961,90.1,8194,9023,90.8,2331,3573,65.2,18,28.9,-10.9,332,1067,172,58,1152
Nîmes,23,38.0,11435,15518,73.7,228644,88474,4826,5766,83.7,4585,5624,81.5,1860,3611,51.5,37,32.5,+4.5,374,962,229,67,1093
Paris S-G,30,38.0,21972,25097,87.5,390714,125835,10039,10985,91.4,9413,10320,91.2,2258,3178,71.1,72,63.9,+8.1,421,1847,496,63,1958
Reims,27,38.0,11618,15559,74.7,242203,91481,4343,5253,82.7,5083,6163,82.5,2071,3672,56.4,27,28.4,-1.4,291,855,230,64,1085
Rennes,28,38.0,14207,17791,79.9,285171,96509,5536,6357,87.1,6172,7121,86.7,2301,3745,61.4,34,31.5,+2.5,326,1045,281,79,1267
Saint-Étienne,29,38.0,15174,19136,79.3,300912,102926,5853,6733,86.9,6803,7862,86.5,2318,3962,58.5,40,35.5,+4.5,353,1055,285,91,1256
Strasbourg,26,38.0,14802,18663,79.3,309286,104043,5527,6442,85.8,6324,7309,86.5,2741,4330,63.3,43,27.7,+15.3,312,1110,269,91,1272
Toulouse,29,38.0,12939,16950,76.3,250177,96797,5522,6440,85.7,5144,6282,81.9,2019,3610,55.9,16,25.8,-9.8,297,978,231,65,1255
