Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Atalanta,30,38.0,18159,21836,83.2,340271,110674,7682,8623,89.1,7916,8986,88.1,2276,3481,65.4,65,55.9,+9.1,474,1506,519,87,1924
Benevento,29,38.0,11710,15299,76.5,233368,82368,4510,5192,86.9,4988,5928,84.1,1906,3461,55.1,26,27.3,-1.3,292,754,294,84,1021
Bologna,37,38.0,14811,18456,80.3,286759,100044,5940,6796,87.4,6395,7460,85.7,2174,3481,62.5,38,37.4,+0.6,364,1106,278,61,1316
Cagliari,32,38.0,13161,16795,78.4,260099,90836,5130,5930,86.5,5796,6853,84.6,1991,3372,59.0,30,30.6,-0.6,302,898,296,91,1059
Crotone,31,38.0,13666,17169,79.6,270802,95397,5103,5831,87.5,6352,7321,86.8,1967,3396,57.9,27,24.5,+2.5,264,812,239,65,1075
Fiorentina,30,38.0,13589,17076,79.6,272797,90816,5253,5998,87.6,5914,6849,86.3,2184,3584,60.9,31,30.5,+0.5,262,1059,264,104,1117
Genoa,34,38.0,14015,17793,78.8,277614,90627,5635,6379,88.3,5932,6963,85.2,2194,3799,57.8,32,25.1,+6.9,252,884,229,65,994
Hellas Verona,32,38.0,13339,17708,75.3,257956,87378,5448,6411,85.0,5714,6907,82.7,1898,3649,52.0,30,31.1,-1.1,297,1008,318,68,1288
Inter,25,38.0,18514,21593,85.7,357767,106101,7261,8022,90.5,8396,9283,90.4,2542,3548,71.6,62,53.4,+8.6,409,1349,430,105,1528
Juventus,30,38.0,19971,23047,86.7,392140,115399,7400,8192,90.3,9422,10266,91.8,2860,3915,73.1,59,51.4,+7.6,456,1438,378,93,1555
Lazio,30,38.0,17098,20724,82.5,340624,110740,6474,7369,87.9,7443,8436,88.2,2813,4156,67.7,40,40.2,-0.2,388,1428,420,110,1469
Milan,29,38.0,16046,19490,82.3,307704,99628,6451,7273,88.7,7021,7971,88.1,2222,3480,63.9,47,43.4,+3.6,392,1165,360,83,1343
Napoli,25,38.0,18947,22092,85.8,360233,108215,7993,8758,91.3,7872,8737,90.1,2734,3825,71.5,56,45.5,+10.5,480,1335,378,78,1431
Parma,42,38.0,14930,18327,81.5,318853,105526,5157,5858,88.0,6716,7641,87.9,2851,4234,67.3,26,28.6,-2.6,289,1017,249,83,1193
Roma,31,38.0,17066,20471,83.4,340976,102007,6286,7128,88.2,8044,8912,90.3,2533,3819,66.3,51,49.2,+1.8,394,1253,340,69,1385
Sampdoria,27,38.0,13561,17627,76.9,268170,92801,5328,6181,86.2,5743,6828,84.1,2169,3809,56.9,37,30.0,+7.0,298,948,267,69,1196
Sassuolo,28,38.0,20547,23671,86.8,366716,108617,9298,10081,92.2,8624,9489,90.9,2204,3264,67.5,36,35.5,+0.5,378,1437,387,57,1428
Spezia,35,38.0,15637,19428,80.5,336885,99279,5347,6110,87.5,6731,7700,87.4,3309,4977,66.5,37,28.9,+8.1,278,1054,270,67,1161
Torino,29,38.0,13471,17077,78.9,267834,87881,5485,6190,88.6,5616,6561,85.6,2140,3711,57.7,28,32.5,-4.5,299,916,251,96,965
Udinese,33,38.0,14149,17469,81.0,273288,90594,5689,6447,88.2,6144,7040,87.3,2019,3281,61.5,30,27.4,+2.6,288,928,303,77,1161
