Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Augsburg,28,34.0,8618,12212,70.6,182208,70959,3135,3850,81.4,3674,4547,80.8,1620,3209,50.5,29,26.2,+2.8,241,567,170,45,761
Bayern Munich,29,34.0,20739,24240,85.6,413561,128617,7694,8577,89.7,9583,10575,90.6,3186,4363,73.0,75,64.2,+10.8,474,1780,510,128,1966
Dortmund,27,34.0,20781,24010,86.6,385238,111587,8997,9861,91.2,8870,9720,91.3,2559,3620,70.7,74,47.1,+26.9,347,1275,329,54,1465
Düsseldorf,28,34.0,11476,15049,76.3,251262,89850,3859,4602,83.9,5067,5988,84.6,2359,3882,60.8,26,21.8,+4.2,291,870,222,79,1064
Eint Frankfurt,27,34.0,12408,16463,75.4,256791,97578,4513,5397,83.6,5536,6710,82.5,2150,3670,58.6,45,38.3,+6.7,361,1015,279,118,1240
Freiburg,26,34.0,12120,15509,78.1,259581,89102,3971,4675,84.9,5747,6619,86.8,2192,3605,60.8,27,27.7,-0.7,301,829,244,97,968
Hertha BSC,32,34.0,11480,14845,77.3,248991,86426,3900,4553,85.7,5056,5980,84.5,2324,3712,62.6,35,29.3,+5.7,267,823,186,74,927
Hoffenheim,31,34.0,14589,17961,81.2,285819,98104,5622,6348,88.6,6728,7601,88.5,2012,3372,59.7,36,33.6,+2.4,334,894,276,86,1162
Köln,29,34.0,11292,14923,75.7,246594,93043,3709,4439,83.6,5144,6148,83.7,2286,3818,59.9,38,31.9,+6.1,294,824,264,86,1061
Leverkusen,24,34.0,19160,22816,84.0,375504,114250,7282,8112,89.8,8742,9752,89.6,2820,4155,67.9,48,45.0,+3.0,383,1164,263,64,1371
M'Gladbach,25,34.0,14479,17921,80.8,288968,97674,5456,6275,86.9,6541,7520,87.0,2262,3484,64.9,53,49.4,+3.6,345,890,284,68,1236
Mainz 05,25,34.0,10302,13844,74.4,216629,82374,3786,4476,84.6,4398,5365,82.0,1935,3453,56.0,34,32.0,+2.0,327,821,242,69,1031
Paderborn 07,27,34.0,11645,15062,77.3,246297,86705,3980,4752,83.8,5347,6244,85.6,2152,3431,62.7,26,24.1,+1.9,294,791,153,45,952
RB Leipzig,29,34.0,16395,19986,82.0,305970,105197,6886,7805,88.2,7094,8074,87.9,2073,3259,63.6,58,52.4,+5.6,415,1250,366,71,1581
Schalke 04,29,34.0,12189,15680,77.7,250577,85006,4392,5112,85.9,5476,6416,85.3,2105,3489,60.3,25,25.0,0.0,269,829,228,51,1104
Union Berlin,26,34.0,9503,13395,70.9,202883,87921,3545,4358,81.3,3841,4844,79.3,1907,3571,53.4,27,25.0,+2.0,260,793,191,73,901
Werder Bremen,30,34.0,12979,16581,78.3,260600,90656,4973,5759,86.4,5668,6622,85.6,2125,3530,60.2,30,27.5,+2.5,311,921,249,75,1185
Wolfsburg,26,34.0,11716,15547,75.4,251266,92108,4026,4863,82.8,5167,6249,82.7,2312,3777,61.2,33,34.1,-1.1,333,915,253,79,1227
