Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arminia,26,34.0,10706,14524,73.7,238305,88071,3491,4253,82.1,4831,5840,82.7,2211,3869,57.1,16,22.1,-6.1,224,728,191,45,817
Augsburg,25,34.0,10430,14074,74.1,216254,79244,3848,4588,83.9,4568,5513,82.9,1838,3364,54.6,23,24.5,-1.5,238,669,197,56,883
Bayern Munich,29,34.0,18505,21940,84.3,370450,115232,6924,7782,89.0,8410,9378,89.7,2901,4061,71.4,75,53.3,+21.7,444,1603,471,112,1743
Dortmund,26,34.0,18983,22343,85.0,370199,109874,7546,8442,89.4,8323,9219,90.3,2807,3928,71.5,57,51.0,+6.0,374,1293,422,62,1528
Eint Frankfurt,25,34.0,14409,18416,78.2,281703,102287,5721,6632,86.3,6353,7489,84.8,2089,3578,58.4,52,43.1,+8.9,351,1087,309,110,1421
Freiburg,24,34.0,12336,15907,77.6,262645,91002,4099,4824,85.0,5827,6768,86.1,2227,3704,60.1,34,29.2,+4.8,285,828,255,89,1076
Hertha BSC,32,34.0,12623,16027,78.8,278139,88471,3797,4508,84.2,6060,6944,87.3,2609,4017,64.9,29,29.8,-0.8,276,846,232,72,1047
Hoffenheim,30,34.0,14462,18016,80.3,291188,99858,5356,6153,87.0,6515,7469,87.2,2304,3636,63.4,38,35.9,+2.1,313,1061,342,99,1337
Köln,28,34.0,12038,15705,76.7,251568,91402,4229,5011,84.4,5315,6263,84.9,2223,3735,59.5,23,24.6,-1.6,253,829,225,84,985
Leverkusen,30,34.0,18002,21523,83.6,361120,109753,6668,7431,89.7,8174,9110,89.7,2901,4305,67.4,41,33.8,+7.2,347,1228,288,76,1344
M'Gladbach,23,34.0,15337,18808,81.5,292690,97135,6331,7156,88.5,6632,7619,87.0,2094,3321,63.1,44,34.6,+9.4,323,960,269,60,1259
Mainz 05,31,34.0,9679,13642,71.0,196417,77998,3595,4448,80.8,4252,5374,79.1,1628,3160,51.5,23,34.7,-11.7,272,713,223,63,981
RB Leipzig,25,34.0,17673,21371,82.7,328704,106196,7379,8336,88.5,7779,8853,87.9,2171,3386,64.1,44,44.7,-0.7,408,1410,410,79,1588
Schalke 04,42,34.0,11269,14667,76.8,228703,78197,4114,4876,84.4,5087,5947,85.5,1862,3223,57.8,20,18.3,+1.7,217,655,185,30,890
Stuttgart,29,34.0,14259,17721,80.5,272823,97293,5717,6527,87.6,6378,7320,87.1,1879,3145,59.7,42,38.1,+3.9,342,985,301,73,1272
Union Berlin,27,34.0,12041,15867,75.9,249391,87774,4451,5250,84.8,5188,6230,83.3,2183,3736,58.4,39,31.1,+7.9,283,801,205,85,995
Werder Bremen,27,34.0,11769,15388,76.5,237260,86011,4561,5418,84.2,5158,6147,83.9,1894,3281,57.7,25,21.5,+3.5,246,805,204,77,976
Wolfsburg,26,34.0,13255,17140,77.3,284266,93118,4331,5249,82.5,6167,7271,84.8,2553,3980,64.1,48,37.6,+10.4,345,993,297,78,1286
