Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arminia,26,34.0,52,1,0,436,442,53,290,305,395,2,6,1,3164,832,800,51.0
Augsburg,25,34.0,70,4,3,441,446,73,313,437,338,3,9,3,3072,627,780,44.6
Bayern Munich,29,34.0,44,3,0,346,430,76,566,415,377,8,3,0,3235,498,452,52.4
Dortmund,26,34.0,44,1,1,403,435,68,400,401,411,6,6,1,3109,486,409,54.3
Eint Frankfurt,25,34.0,82,1,1,527,401,70,510,426,408,6,6,2,3427,735,625,54.0
Freiburg,24,34.0,62,0,0,497,441,58,444,387,298,5,6,2,2931,679,699,49.3
Hertha BSC,32,34.0,67,3,2,513,487,79,396,409,352,6,8,1,2918,577,579,49.9
Hoffenheim,30,34.0,68,4,2,496,464,50,440,346,355,4,8,2,3247,563,661,46.0
Köln,28,34.0,63,1,1,485,471,59,428,427,382,4,9,0,3100,673,722,48.2
Leverkusen,30,34.0,58,0,0,468,383,76,427,377,342,1,2,2,3377,504,571,46.9
M'Gladbach,23,34.0,61,2,0,437,476,86,336,455,346,9,6,0,2954,583,552,51.4
Mainz 05,31,34.0,63,1,1,548,412,56,378,454,405,3,7,1,3260,683,745,47.8
RB Leipzig,25,34.0,57,0,0,478,467,83,427,380,352,9,3,0,3427,732,544,57.4
Schalke 04,42,34.0,74,2,2,465,442,69,245,467,375,3,8,5,2891,587,613,48.9
Stuttgart,29,34.0,65,2,1,459,498,56,382,382,350,6,7,1,3228,598,502,54.4
Union Berlin,27,34.0,57,2,1,489,400,87,391,428,349,6,5,2,3256,682,751,47.6
Werder Bremen,27,34.0,67,3,2,455,523,69,315,477,375,3,6,3,2972,670,720,48.2
Wolfsburg,26,34.0,58,3,1,491,429,80,428,461,430,1,5,1,3409,637,621,50.6
