Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Amiens,27,28.0,57,4,2,433,341,36,297,273,318,5,1,1,2487,470,527,47.1
Angers,26,28.0,42,2,1,354,360,28,355,236,320,1,3,1,2494,445,445,50.0
Bordeaux,26,28.0,55,0,0,414,384,40,234,227,347,1,3,1,2403,467,428,52.2
Brest,24,28.0,45,2,0,361,320,35,374,246,356,4,6,0,2444,402,449,47.2
Dijon,28,28.0,43,2,0,389,352,32,277,255,360,0,1,2,2420,518,507,50.5
Lille,25,28.0,49,3,2,412,386,60,321,196,324,7,6,3,2595,474,489,49.2
Lyon,27,28.0,49,4,1,360,344,26,356,215,330,4,2,3,2425,453,382,54.3
Marseille,23,28.0,67,3,1,406,348,23,340,192,372,4,5,2,2398,474,439,51.9
Metz,24,28.0,45,4,0,369,356,29,303,252,385,2,4,0,2523,461,550,45.6
Monaco,28,28.0,60,10,1,372,383,44,345,262,356,3,5,1,2402,381,377,50.3
Montpellier,27,28.0,55,5,2,443,417,42,391,216,294,4,5,2,2594,547,526,51.0
Nantes,29,28.0,51,2,1,403,375,44,280,224,371,0,6,0,2614,454,500,47.6
Nice,31,28.0,54,7,4,322,388,22,260,253,302,4,7,2,2094,265,269,49.6
Nîmes,28,28.0,41,6,3,374,426,39,322,248,336,2,4,1,2538,549,570,49.1
Paris S-G,31,27.0,50,1,1,361,325,57,414,185,316,5,0,1,2254,251,231,52.1
Reims,26,28.0,52,5,5,417,407,45,344,228,345,4,6,0,2413,429,479,47.2
Rennes,26,28.0,51,1,0,412,425,39,295,188,338,5,5,1,2407,479,424,53.0
Saint-Étienne,31,28.0,59,3,2,390,346,43,349,276,378,3,6,0,2570,541,494,52.3
Strasbourg,25,27.0,46,1,1,396,335,33,380,245,337,4,7,0,2290,501,387,56.4
Toulouse,30,28.0,48,5,1,422,317,30,346,238,393,4,5,2,2460,422,510,45.3
