Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,28,38.0,73,2,1,471,533,93,471,411,398,4,7,2,3296,528,645,45.0
Bournemouth,28,38.0,60,1,0,385,494,58,450,464,341,8,5,3,3458,690,717,49.0
Brighton,21,38.0,61,4,1,535,338,92,424,502,439,5,10,0,3345,766,792,49.2
Burnley,23,38.0,75,1,0,428,392,108,443,501,355,1,3,4,3492,989,1003,49.6
Cardiff City,25,38.0,66,1,0,461,445,80,377,610,417,2,7,0,3650,960,936,50.6
Chelsea,24,38.0,49,0,0,384,523,83,484,443,426,5,2,0,3415,509,480,51.5
Crystal Palace,26,38.0,58,2,1,442,469,82,407,544,457,10,5,1,3471,681,753,47.5
Everton,23,38.0,56,4,1,491,491,71,520,633,458,4,5,2,3706,868,862,50.2
Fulham,28,38.0,70,2,2,499,388,91,375,608,411,2,7,2,3507,722,707,50.5
Huddersfield,31,38.0,56,4,1,489,415,64,509,599,430,1,8,1,3663,843,771,52.2
Leicester City,25,38.0,60,5,3,410,454,72,500,477,438,6,5,0,3624,822,663,55.4
Liverpool,23,38.0,39,2,2,347,410,82,512,424,380,7,1,0,3733,591,580,50.5
Manchester City,21,38.0,44,1,0,354,374,102,605,402,359,4,4,0,3371,524,507,50.8
Manchester Utd,28,38.0,75,4,2,510,471,90,455,438,378,11,6,3,3314,724,531,57.7
Newcastle Utd,24,38.0,57,2,0,497,384,59,434,539,431,2,6,1,3602,756,942,44.5
Southampton,30,38.0,73,3,2,489,387,62,407,586,437,4,3,3,3637,744,860,46.4
Tottenham,28,38.0,57,3,1,417,438,74,467,441,408,3,5,3,3577,595,614,49.2
Watford,25,38.0,79,4,1,491,436,90,425,504,432,1,4,3,3583,747,826,47.5
West Ham,26,38.0,59,1,0,389,455,73,439,584,459,5,5,1,3262,623,612,50.4
Wolves,21,38.0,73,1,0,489,368,74,464,479,425,3,4,4,3522,817,698,53.9
