Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,30,38.0,80,2,1,598,602,50,486,252,445,9,6,2,3562,633,513,55.2
Bologna,31,38.0,109,7,3,671,625,85,468,257,399,6,7,1,3338,627,636,49.6
Brescia,32,38.0,95,6,3,554,625,69,428,245,353,3,9,3,2973,536,604,47.0
Cagliari,33,38.0,108,6,3,584,518,56,488,255,409,3,7,3,3023,499,657,43.2
Fiorentina,33,38.0,105,5,3,628,561,50,467,263,401,8,10,0,3173,465,481,49.2
Genoa,34,38.0,107,10,5,630,568,57,486,311,391,12,8,2,3166,608,628,49.2
Hellas Verona,30,38.0,87,7,2,616,555,91,495,279,345,7,7,1,3521,720,785,47.8
Inter,29,38.0,104,6,3,614,533,96,542,260,373,10,4,1,3165,498,453,52.4
Juventus,30,38.0,87,3,2,560,573,73,440,269,382,10,12,0,2990,441,340,56.5
Lazio,27,38.0,99,2,1,525,474,71,512,244,404,12,8,1,3127,475,525,47.5
Lecce,30,38.0,98,5,2,531,541,67,582,266,385,10,13,3,2889,488,526,48.1
Milan,32,38.0,97,6,2,600,531,63,505,324,411,4,9,1,3181,568,509,52.7
Napoli,25,38.0,73,2,0,476,596,54,576,192,377,2,8,1,3025,400,375,51.6
Parma,25,38.0,81,1,0,587,518,60,419,264,405,4,11,0,2924,541,473,53.4
Roma,31,38.0,111,7,4,604,486,45,492,235,341,7,9,0,3090,545,408,57.2
Sampdoria,31,38.0,111,7,5,626,520,62,521,288,411,10,8,4,3304,582,630,48.0
Sassuolo,31,38.0,99,3,1,553,629,64,321,248,394,4,9,4,2942,326,423,43.5
SPAL,34,38.0,98,4,1,613,586,53,468,250,356,7,8,3,2973,535,533,50.1
Torino,27,38.0,96,7,5,683,622,63,585,339,401,3,8,3,3180,704,647,52.1
Udinese,25,38.0,77,3,2,579,454,64,512,264,395,0,9,0,3068,487,535,47.7
