Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,28,34.0,68,2,2,419,423,81,285,283,331,4,1,3,3134,554,629,46.8
Bayern Munich,29,34.0,54,3,2,330,419,78,648,220,368,6,3,1,3427,470,386,54.9
Dortmund,27,34.0,49,1,1,337,379,56,366,286,401,1,3,3,3135,378,364,50.9
Düsseldorf,28,34.0,78,0,0,455,460,56,441,302,347,3,5,4,3089,565,639,46.9
Eint Frankfurt,27,34.0,71,4,2,466,410,57,561,251,444,1,3,2,3584,701,635,52.5
Freiburg,26,34.0,43,2,1,372,471,56,387,255,309,5,4,0,2933,626,661,48.6
Hertha BSC,32,34.0,77,4,2,510,391,57,382,304,356,3,7,2,2953,629,554,53.2
Hoffenheim,31,34.0,66,2,1,423,450,61,362,263,353,3,8,2,3038,557,541,50.7
Köln,29,34.0,79,4,1,554,484,75,429,272,421,3,5,2,3192,657,673,49.4
Leverkusen,24,34.0,61,6,3,433,419,91,426,246,382,2,2,0,3437,526,506,51.0
M'Gladbach,25,34.0,77,3,3,461,507,91,387,269,400,5,2,0,3093,541,544,49.9
Mainz 05,25,34.0,75,3,2,500,449,70,383,296,386,3,5,1,3225,575,687,45.6
Paderborn 07,27,34.0,84,3,2,477,394,63,313,262,409,2,5,1,3144,476,550,46.4
RB Leipzig,29,34.0,53,3,3,408,408,78,405,262,420,3,2,0,3409,543,475,53.3
Schalke 04,29,34.0,64,2,1,431,418,81,303,306,430,1,6,2,3181,595,615,49.2
Union Berlin,26,34.0,71,5,3,561,400,63,388,287,369,4,4,1,3305,891,813,52.3
Werder Bremen,30,34.0,80,4,4,513,481,52,386,279,397,4,0,3,3122,518,619,45.6
Wolfsburg,26,34.0,71,4,2,524,438,72,417,281,401,3,4,0,3510,653,564,53.7
