Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Amiens,26,46.3,38.0,20581,2138,6623,10194,4908,590,18609,349,577,60.5,385,10,13030,59818,32195,1227,371,72,521,442,14899,12031,80.8,1428
Angers,24,43.0,38.0,21185,2001,6957,10494,5220,734,19392,440,697,63.1,471,15,13911,69323,38818,1476,511,98,476,517,15420,13020,84.4,1452
Bordeaux,33,50.1,38.0,23095,2296,7864,11836,5100,647,21238,458,724,63.3,500,20,15701,79126,44025,1599,533,106,496,501,17387,14650,84.3,1483
Caen,26,43.9,38.0,20080,2291,7089,10224,3914,532,18180,395,693,57.0,438,18,12437,56466,29272,1020,321,61,509,436,14206,11523,81.1,1159
Dijon,26,47.9,38.0,21346,2215,7062,10545,5115,728,19554,418,624,67.0,453,12,13934,70133,38941,1492,456,93,495,463,15969,13058,81.8,1446
Guingamp,30,43.9,38.0,20156,1950,6396,9533,5500,782,18225,444,729,60.9,494,15,12503,63143,34058,1313,425,111,495,477,14048,11408,81.2,1501
Lille,25,51.5,38.0,22599,2031,6842,11709,5694,780,20760,440,704,62.5,473,21,15578,81409,45761,1773,551,138,502,509,16987,14573,85.8,1542
Lyon,25,60.8,38.0,26928,2102,7249,14387,7150,1122,25201,527,803,65.6,568,19,19748,101961,57592,2353,626,227,515,460,21653,19060,88.0,2001
Marseille,24,55.5,38.0,24253,2087,7499,12284,6025,876,22375,418,699,59.8,451,24,16419,77449,43346,1639,516,133,524,427,18814,16031,85.2,1307
Monaco,42,49.8,38.0,22236,1971,6860,11157,5758,785,20300,401,664,60.4,433,19,14877,76796,43638,1663,527,114,500,422,16786,14093,84.0,1754
Montpellier,25,47.8,38.0,22154,2164,7135,10800,5573,740,20270,415,661,62.8,451,14,14073,69928,36605,1411,405,122,481,443,16302,13580,83.3,1588
Nantes,33,50.1,38.0,22183,2139,6908,10424,6187,811,20236,372,586,63.5,404,23,13403,65007,35941,1468,486,104,530,433,16271,13301,81.7,1695
Nice,30,55.6,38.0,25615,2604,9177,13101,5039,730,23906,609,993,61.3,663,30,18449,84979,49733,1887,485,186,553,480,20207,17888,88.5,1339
Nîmes,23,45.4,38.0,20223,1937,6813,9183,5573,757,18165,447,738,60.6,485,13,12435,64599,37093,1411,445,131,558,457,14116,11435,81.0,1411
Paris S-G,30,64.1,38.0,29131,2001,7287,15788,8115,1275,27590,571,888,64.3,618,26,21811,106992,61810,2627,721,207,432,467,24425,21972,90.0,2129
Reims,27,43.3,38.0,20086,2286,7747,9172,4522,699,18290,432,673,64.2,465,19,12712,66861,36632,1259,364,108,488,421,14356,11618,80.9,1384
Rennes,28,50.7,38.0,22211,1996,6918,11285,5553,797,20341,481,786,61.2,511,11,15224,77442,44149,1731,531,131,515,488,16728,14207,84.9,1569
Saint-Étienne,29,52.7,38.0,23434,2201,7904,11549,5429,858,21515,382,620,61.6,407,13,15841,76295,41776,1608,445,151,455,434,17916,15174,84.7,1515
Strasbourg,26,50.2,38.0,22864,2275,7741,11326,5394,642,21013,372,623,59.7,405,13,15627,78857,43654,1581,532,77,520,424,17490,14802,84.6,1569
Toulouse,29,48.3,38.0,21526,2461,7195,10448,5294,773,19670,462,737,62.7,505,16,13979,69885,39442,1511,444,118,525,515,15809,12939,81.8,1527
