Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Alavés,32,41.1,38.0,17992,2141,6134,8850,3878,563,16042,250,466,53.6,277,14,9417,46382,22620,875,257,84,458,386,12391,9724,78.5,1202
Athletic Club,26,48.7,38.0,20945,2191,6617,10445,5181,655,19036,342,567,60.3,374,22,12246,64419,34662,1342,447,93,468,398,15307,12589,82.2,1374
Atlético Madrid,30,48.5,38.0,22042,2034,6513,11157,5571,876,20176,350,585,59.8,372,18,13465,63061,32999,1353,397,128,519,396,16316,13709,84.0,1619
Barcelona,28,66.9,38.0,32096,2720,8347,16677,9213,1180,30469,510,820,62.2,541,27,23589,114309,64064,2772,802,213,392,366,27494,24981,90.9,1836
Betis,27,57.1,38.0,23922,2708,8180,11426,5892,941,21929,447,692,64.6,482,27,16015,84257,45987,1858,539,193,488,406,18549,16291,87.8,1357
Celta Vigo,30,51.9,38.0,22702,2428,7524,11360,5166,679,20821,367,596,61.6,390,16,14522,75207,38737,1583,507,123,460,450,17193,14692,85.5,1322
Eibar,26,46.3,38.0,19711,1879,5278,9802,5668,704,17635,260,439,59.2,284,16,10552,53417,25488,1103,370,96,526,401,13748,10623,77.3,1521
Espanyol,31,47.3,38.0,20408,2255,6895,10186,4489,652,18544,289,507,57.0,315,15,11942,63574,33188,1288,357,94,483,376,14836,12032,81.1,1337
Getafe,30,44.6,38.0,17758,1587,4713,8406,5413,716,15554,262,448,58.5,289,13,8691,42964,21508,974,299,86,521,410,11585,8444,72.9,1598
Granada,27,43.7,38.0,18072,2365,6249,8418,4361,612,16138,303,520,58.3,328,22,10152,52303,26636,1050,304,93,443,343,12437,9933,79.9,1296
Leganés,29,43.8,38.0,18956,1869,5893,9224,4875,703,17013,341,576,59.2,378,27,10795,54294,28007,1103,375,101,454,382,13104,10467,79.9,1334
Levante,29,48.4,38.0,20354,2651,7558,9477,4498,695,18487,394,670,58.8,429,24,12554,66233,36330,1478,417,144,459,383,14968,12463,83.3,1398
Mallorca,32,44.6,38.0,19860,2495,6876,9224,5074,737,17940,382,634,60.3,409,18,12287,71974,39494,1553,456,161,509,481,14370,11932,83.0,1297
Osasuna,31,47.5,38.0,20185,2108,6184,9989,5057,749,18195,336,539,62.3,358,17,11043,55285,30048,1266,404,119,506,414,14128,11102,78.6,1565
Real Madrid,26,59.1,38.0,27878,2457,7970,13777,7786,1184,26119,463,775,59.7,505,21,18870,96751,51991,2289,654,268,463,353,22895,20329,88.8,1766
Real Sociedad,27,56.6,38.0,24174,2570,7810,12304,5603,863,22283,354,591,59.9,372,14,15869,84261,45819,1796,505,136,452,419,18695,16055,85.9,1696
Sevilla,26,58.4,38.0,25805,2395,7982,12761,6536,991,23891,434,672,64.6,468,15,17051,83364,45054,1925,562,185,473,449,20175,17667,87.6,1731
Valencia,28,48.9,38.0,21957,2790,7974,10516,4831,708,20176,353,557,63.4,376,13,14243,76592,39820,1459,415,105,444,341,16843,14565,86.5,1413
Valladolid,30,44.3,38.0,19517,2302,6720,9785,4119,547,17551,330,585,56.4,352,18,11501,62751,31853,1236,355,101,434,356,13743,11236,81.8,1191
Villarreal,25,53.2,38.0,24211,2721,8164,12023,5406,842,22390,420,675,62.2,447,17,15653,78061,42082,1691,436,178,484,354,18931,16361,86.4,1537
