Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Alavés,30,39.8,38.0,17926,2224,6338,8387,4213,625,16304,362,592,61.1,405,27,10543,52025,26598,1017,309,109,455,373,11680,9509,81.4,1122
Athletic Club,26,49.7,38.0,21393,2175,6471,10581,5736,843,19859,315,579,54.4,354,33,13380,71893,38268,1564,497,98,456,349,15568,12929,83.0,1473
Atlético Madrid,26,47.3,38.0,22798,2149,7113,11200,5921,846,21351,381,649,58.7,429,26,15384,75501,39170,1589,480,145,442,410,16754,14327,85.5,1513
Barcelona,25,63.1,38.0,29152,2344,7875,14424,8948,1394,27759,611,993,61.5,670,42,21602,106707,58284,2465,802,255,439,409,24038,21631,90.0,1982
Betis,29,57.7,38.0,25191,2616,8352,12818,5701,682,23853,374,574,65.2,397,22,18198,93278,48962,1865,572,148,460,385,19575,17551,89.7,1399
Celta Vigo,23,56.1,38.0,24778,2489,8266,12578,5610,820,23348,358,585,61.2,389,20,17337,89039,46031,1772,564,153,469,386,18962,16787,88.5,1522
Eibar,27,52.4,38.0,21946,1703,5371,11086,6779,829,20083,333,557,59.8,369,19,13392,69618,33759,1513,528,111,520,428,15693,12660,80.7,1521
Espanyol,25,46.8,38.0,21142,2190,7264,10258,4849,674,19520,355,568,62.5,390,25,13406,64450,32235,1249,409,106,459,374,15062,12572,83.5,1256
Getafe,32,39.4,38.0,17274,1965,5678,7673,4837,672,15439,318,567,56.1,347,24,9795,47048,22910,829,292,77,477,406,11245,8542,76.0,1262
Girona,25,46.8,38.0,19785,1973,6462,9639,4910,739,18252,332,575,57.7,369,21,12354,63076,30656,1247,389,95,440,386,13732,11643,84.8,1271
La Coruña,32,46.6,38.0,20804,2120,6825,9759,5482,793,19274,365,553,66.0,388,11,13241,67411,35066,1425,455,136,437,385,14885,12495,83.9,1420
Las Palmas,36,55.1,38.0,23464,2449,7843,11743,5488,698,21865,416,631,65.9,445,24,16561,83956,43455,1657,527,110,522,479,17581,15464,88.0,1334
Leganés,28,42.5,38.0,18894,1976,6496,8746,4705,646,17233,375,613,61.2,406,22,11509,57351,27286,1083,352,104,461,441,12611,10262,81.4,1244
Levante,33,42.5,38.0,18703,2196,6367,8458,5072,742,17052,381,631,60.4,412,30,11541,62767,33949,1318,443,126,493,453,12891,10603,82.3,1335
Málaga,37,44.0,38.0,19770,2096,6482,9448,4915,632,18129,327,531,61.6,349,14,12236,57794,27741,1053,364,88,469,461,13727,11280,82.2,1295
Real Madrid,24,60.5,38.0,27743,1878,7165,13582,8905,1395,26408,432,651,66.4,457,12,21265,109242,57032,2518,727,280,413,363,22529,20387,90.5,2005
Real Sociedad,27,56.8,38.0,24504,2438,8009,11740,6590,920,22941,325,559,58.1,354,17,17373,95151,51191,1981,617,153,483,448,18880,16684,88.4,1594
Sevilla,31,54.5,38.0,24358,2095,7401,12037,6470,1038,22855,387,598,64.7,420,21,16864,83220,44332,1843,552,211,440,428,18292,15991,87.4,1783
Valencia,25,48.9,38.0,22123,2207,7215,10858,5475,852,20718,437,686,63.7,474,25,15095,77428,41053,1625,507,170,477,438,16238,13926,85.8,1577
Villarreal,32,50.5,38.0,22775,2307,7590,11510,5181,774,21336,298,502,59.4,329,14,15260,77946,40453,1625,535,167,407,362,17030,14755,86.6,1427
