Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,30,61.5,38.0,29511,2394,7955,14932,8438,1256,27805,394,646,61.0,436,30,19525,96573,51216,2443,702,189,489,451,23745,20841,87.8,1933
Bournemouth,22,47.8,38.0,22844,2631,8023,10427,5890,903,20851,367,659,55.7,403,27,13059,73964,41116,1633,482,160,533,528,16284,13510,83.0,1276
Brighton,24,43.7,38.0,20800,2739,8000,9234,4736,658,19100,311,501,62.1,335,12,11626,61685,32720,1164,359,113,463,388,14950,11951,79.9,1031
Burnley,24,43.9,38.0,19878,2525,6790,9083,4921,669,18034,246,422,58.3,274,20,10366,50086,25012,981,320,72,463,403,13577,10493,77.3,1014
Chelsea,26,55.4,38.0,27447,2527,8693,13022,7595,1123,25740,445,737,60.4,478,41,18152,96305,54598,2358,645,223,497,427,21886,18947,86.6,1717
Crystal Palace,28,45.3,38.0,21219,2321,6916,9832,5708,915,19296,454,755,60.1,505,19,12214,62820,33840,1446,466,168,524,526,14941,11832,79.2,1216
Everton,30,45.9,38.0,21405,2578,7377,10005,5155,679,19578,314,561,56.0,343,20,11908,58068,28895,1085,329,93,548,436,15095,11990,79.4,1116
Huddersfield,25,45.7,38.0,21734,2411,7453,10052,5507,592,19808,280,556,50.4,308,25,12052,63207,31407,1225,423,112,512,493,15151,12081,79.7,1012
Leicester City,27,47.9,38.0,21718,2389,7115,10603,5321,737,19776,421,728,57.8,455,27,12268,66557,35256,1315,402,118,467,458,15584,12331,79.1,1111
Liverpool,27,60.5,38.0,29203,2038,7686,15679,7743,1250,27445,445,717,62.1,486,25,19875,100853,56273,2422,696,208,553,485,23430,20261,86.5,1958
Manchester City,25,71.1,38.0,34053,1990,7546,18615,10112,1433,32356,415,668,62.1,452,22,24202,118540,69232,3162,921,289,487,505,28852,26108,90.5,2040
Manchester Utd,27,54.8,38.0,26317,2326,7237,13580,7124,1009,24537,439,741,59.2,486,39,17289,86847,48490,2183,616,197,479,530,20500,17776,86.7,1437
Newcastle Utd,27,41.7,38.0,20507,2404,7533,9086,5025,687,18669,340,580,58.6,377,25,11070,55026,29374,1076,374,84,484,464,14088,11037,78.3,1042
Southampton,26,51.5,38.0,23453,2192,7154,11559,6166,810,21569,366,570,64.2,398,23,14188,71587,38746,1573,490,128,441,426,17304,14318,82.7,1351
Stoke City,30,41.3,38.0,19301,2678,6749,8870,4705,692,17418,353,637,55.4,391,27,10086,51704,26111,989,336,88,490,407,13010,10143,78.0,1041
Swansea City,26,45.2,38.0,21756,2594,7546,10500,5045,599,19903,339,604,56.1,372,17,13276,68489,35805,1316,375,82,462,461,16087,13274,82.5,1068
Tottenham,25,61.9,38.0,28270,2234,7458,14353,8298,1080,26311,446,755,59.1,491,36,18754,95275,51273,2319,682,164,525,550,22176,19290,87.0,1906
Watford,29,49.6,38.0,22191,2241,6901,10602,5873,892,20263,333,626,53.2,363,34,12401,62497,33675,1429,452,145,524,474,15900,12739,80.1,1223
West Brom,24,40.6,38.0,19536,2459,7054,8679,4916,651,17699,336,623,53.9,371,29,10691,55626,28938,1079,338,80,515,498,13484,10477,77.7,1001
West Ham,27,45.0,38.0,20789,2401,6637,10296,5015,669,18831,371,622,59.6,410,22,11776,59674,30020,1207,371,96,472,474,14543,11769,80.9,1015
