Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Amiens,27,45.5,28.0,16194,1709,5138,8388,3592,417,14785,283,478,59.2,318,20,10011,46571,24872,967,286,80,411,427,11771,9777,83.1,1117
Angers,26,45.1,28.0,16741,1451,5355,8134,4348,592,15332,344,558,61.6,367,26,10806,53660,29100,1176,384,102,386,358,12508,10616,84.9,1115
Bordeaux,26,53.9,28.0,18350,1875,6062,10299,3154,430,16999,281,477,58.9,313,14,12418,61176,31449,1176,335,81,355,401,14151,12356,87.3,1011
Brest,24,49.7,28.0,17433,2165,6599,7977,3966,528,15987,229,412,55.6,248,16,11199,57232,30442,1054,321,75,378,335,13039,11090,85.1,1167
Dijon,28,46.5,28.0,16446,1984,6278,7912,3319,536,15050,356,611,58.3,394,17,10416,53723,29254,1076,330,90,352,393,12065,10186,84.4,994
Lille,25,53.0,28.0,17366,1360,4522,9473,4563,615,15961,343,575,59.7,378,29,11627,61478,33139,1377,394,112,373,371,13330,11307,84.8,1157
Lyon,27,56.4,28.0,19252,1798,6093,10048,4464,599,17971,365,596,61.2,399,12,13296,67358,36880,1366,395,98,399,388,15206,13379,88.0,1258
Marseille,23,54.0,28.0,18069,1618,5609,9182,4482,597,16704,324,565,57.3,351,17,11865,63572,34886,1400,382,105,324,329,13979,12013,85.9,937
Metz,24,45.3,28.0,15989,1744,5744,7826,3513,419,14695,383,623,61.5,415,23,10379,56373,29690,1156,376,76,375,350,11569,9635,83.3,847
Monaco,28,50.8,28.0,17693,1681,5343,9095,4508,751,16382,359,596,60.2,384,15,11692,64096,37023,1502,446,132,357,306,13731,11748,85.6,1297
Montpellier,27,47.6,28.0,15864,1719,5434,7646,3796,502,14478,225,467,48.2,246,14,9876,50762,27810,1030,291,65,371,262,11740,9682,82.5,1213
Nantes,29,48.1,28.0,16979,1576,5436,8459,4092,550,15590,336,592,56.8,371,10,10638,52374,28759,1140,344,118,377,380,12608,10599,84.1,1038
Nice,31,55.0,28.0,18877,2057,7155,9338,3792,526,17568,354,615,57.6,390,18,13389,67908,39072,1317,331,107,401,366,14938,13378,89.6,1108
Nîmes,28,44.6,28.0,14587,1467,5048,6565,3871,536,13019,274,518,52.9,298,16,8480,44259,24797,896,264,67,356,300,10246,8170,79.7,1090
Paris S-G,31,65.6,27.0,22010,1479,5523,12089,5925,948,20847,438,720,60.8,470,28,16214,79000,44523,1928,538,166,321,333,18398,16845,91.6,1524
Reims,26,48.8,28.0,16512,1805,6355,7663,3683,558,15104,378,617,61.3,406,15,10715,61216,34071,1159,339,97,371,300,12252,10361,84.6,1111
Rennes,26,49.8,28.0,16554,1817,5765,8423,3443,509,15178,284,489,58.1,305,19,10571,54747,30277,1148,351,88,366,354,12286,10454,85.1,1060
Saint-Étienne,31,48.0,28.0,16405,1632,5729,8191,3555,467,14965,329,534,61.6,359,14,10274,55403,29953,1075,313,81,357,379,12089,10086,83.4,1041
Strasbourg,25,49.7,27.0,15862,1563,5327,7924,3766,531,14579,288,466,61.8,316,14,10231,56490,31068,1163,365,72,395,301,11990,10203,85.1,1136
Toulouse,30,44.0,28.0,15612,1881,5472,7450,3736,530,14229,321,503,63.8,344,8,9825,54203,30878,1088,343,83,397,356,11398,9433,82.8,981
