Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Amiens,30,43.3,38.0,19793,2407,7759,8922,4437,544,18245,321,538,59.7,350,9,11643,64325,33401,1175,379,72,513,437,13120,10940,83.4,1373
Angers,27,44.7,38.0,20741,1705,6945,9804,5385,686,19158,311,564,55.1,342,23,13113,73653,37235,1434,463,113,510,422,14432,12407,86.0,1565
Bordeaux,31,50.5,38.0,22287,1909,7498,10339,6227,824,20843,376,648,58.0,427,16,14778,90187,48692,1776,600,135,488,441,16359,14055,85.9,1638
Caen,26,45.5,38.0,20285,1927,6972,9137,5599,632,18694,292,470,62.1,326,27,11650,70384,37101,1306,450,71,538,371,13773,11292,82.0,1617
Dijon,26,48.4,38.0,21148,2319,8176,9420,5244,710,19703,368,594,62.0,400,9,13878,85346,45695,1553,496,97,457,408,15276,12787,83.7,1505
Guingamp,23,49.8,38.0,21573,2017,7151,10055,5885,746,20049,341,534,63.9,374,5,13463,80459,41393,1583,490,140,466,437,15419,13225,85.8,1563
Lille,25,54.2,38.0,23693,2005,8252,11229,6073,685,22447,491,748,65.6,518,13,16805,97370,52363,1854,585,128,574,517,17743,15564,87.7,1632
Lyon,26,55.9,38.0,24876,1985,8012,12021,6738,885,23539,432,753,57.4,475,23,17171,101729,55612,2116,640,182,502,484,18872,16846,89.3,1621
Marseille,26,58.3,38.0,24800,1862,8227,11301,7031,942,23397,360,601,59.9,393,10,16715,89559,48998,1918,602,183,519,429,18546,16580,89.4,1440
Metz,36,45.3,38.0,20609,1919,6807,9436,5762,634,19081,308,520,59.2,341,17,12622,70836,36662,1351,480,88,494,392,14222,12195,85.7,1551
Monaco,32,51.2,38.0,22189,1802,6779,10662,6352,838,20716,349,605,57.7,387,24,14229,83512,46126,1814,574,150,498,383,16138,13858,85.9,1764
Montpellier,23,46.9,38.0,21347,1819,7092,9723,6141,734,19834,295,519,56.8,328,16,13385,79914,42807,1616,584,124,471,423,15113,13023,86.2,1692
Nantes,30,43.4,38.0,20457,2138,6939,8880,5938,721,18923,299,500,59.8,329,4,12395,66721,34759,1357,466,97,538,409,14019,11474,81.8,1577
Nice,31,58.3,38.0,26725,2205,9443,13242,6059,754,25545,436,676,64.5,467,16,19229,103835,57298,2218,593,176,450,430,21034,19266,91.6,1552
Paris S-G,28,66.8,38.0,29300,1770,7802,15588,8221,1274,28184,507,835,60.7,548,34,22059,126241,69319,2845,772,230,439,374,23974,22004,91.8,2041
Rennes,28,50.2,38.0,21788,1727,6602,10436,6142,677,20201,262,503,52.1,290,18,13597,74969,39602,1537,477,102,501,423,15721,13282,84.5,1690
Saint-Étienne,30,51.2,38.0,22688,2272,8130,10416,5803,730,21197,308,505,61.0,340,15,14663,88961,46367,1737,513,141,451,471,16543,14310,86.5,1479
Strasbourg,25,49.2,38.0,20790,2010,7764,9287,5265,726,19237,313,512,61.1,352,16,12886,72880,39176,1411,440,92,509,382,14298,12322,86.2,1445
Toulouse,25,45.6,38.0,19517,1938,6418,8717,5697,765,17861,322,549,58.7,356,22,11258,66954,36696,1400,443,127,507,428,13320,10831,81.3,1559
Troyes,25,42.4,38.0,19927,2203,7699,8386,5189,596,18410,275,514,53.5,307,17,12107,70304,37005,1269,421,86,477,395,13772,11486,83.4,1437
